return_id,order_id,return_date,return_reason,refund_amount,reverse_logistics_cost,restockable
RET-000039,ORD-000778,2024-05-24,Item Defective,30.81,46.62,True
RET-000040,ORD-000783,2024-08-25,Item Defective,347.1,39.39,True
RET-000041,ORD-000814,2024-05-06,Item Defective,77.8,45.82,True
RET-000042,ORD-000815,2024-07-07,Item Defective,195.0,48.33,True
RET-000043,ORD-000849,2024-07-05,Late Delivery,121.22,45.36,True
RET-000044,ORD-000850,2024-05-28,Wrong Size / Fit,38.19,44.79,True
RET-000045,ORD-000861,2024-07-30,Buyer Remorse,71.29,41.2,True
RET-000046,ORD-000871,2024-10-03,Wrong Size / Fit,255.13,38.06,True
RET-000047,ORD-000888,2024-04-21,Buyer Remorse,281.9,39.82,True
RET-000048,ORD-000891,2024-06-06,Wrong Size / Fit,82.11,51.33,False
RET-000049,ORD-000903,2024-09-22,Wrong Size / Fit,26.55,38.48,True
RET-000050,ORD-000904,2024-05-11,Wrong Size / Fit,377.46,36.36,True
RET-000051,ORD-000907,2024-07-13,Wrong Size / Fit,52.43,51.41,True
RET-000052,ORD-000909,2024-07-10,Wrong Size / Fit,383.39,38.26,True
RET-000053,ORD-000924,2024-07-11,Buyer Remorse,123.91,42.39,True
RET-000054,ORD-000925,2024-08-16,Buyer Remorse,59.23,42.71,True
RET-000055,ORD-000930,2024-04-24,Wrong Size / Fit,78.33,41.24,True
RET-000056,ORD-000944,2024-06-15,Late Delivery,430.49,38.67,True
RET-000057,ORD-001009,2024-08-16,Wrong Size / Fit,379.09,45.44,False
RET-000058,ORD-001073,2024-09-07,Wrong Size / Fit,93.41,38.99,True
RET-000059,ORD-001075,2024-07-03,Wrong Size / Fit,204.01,48.18,True
RET-000060,ORD-001087,2024-07-25,Wrong Size / Fit,346.01,51.57,True
RET-000061,ORD-001127,2024-08-14,Late Delivery,91.13,51.19,True
RET-000062,ORD-001152,2024-05-14,Item Defective,148.84,47.19,True
RET-000063,ORD-001155,2024-06-13,Item Defective,191.75,39.06,False
RET-000064,ORD-001173,2024-06-08,Item Defective,219.66,43.98,True
RET-000065,ORD-001183,2024-04-12,Wrong Size / Fit,906.47,47.84,True
RET-000066,ORD-001239,2024-07-31,Wrong Size / Fit,355.1,49.76,True
RET-000067,ORD-001242,2024-08-13,Wrong Size / Fit,570.72,42.96,True
RET-000068,ORD-001252,2024-06-11,Buyer Remorse,78.16,36.0,True
RET-000069,ORD-001368,2024-04-23,Wrong Size / Fit,93.01,35.97,False
RET-000070,ORD-001377,2024-09-16,Late Delivery,78.37,49.12,True
RET-000071,ORD-001386,2024-05-31,Late Delivery,391.69,42.75,True
RET-000072,ORD-001395,2024-07-29,Wrong Size / Fit,69.07,44.8,True
RET-000073,ORD-001427,2024-05-22,Late Delivery,93.59,47.8,True
RET-000074,ORD-001439,2024-05-22,Late Delivery,299.53,41.17,True
RET-000075,ORD-001445,2024-04-19,Buyer Remorse,359.57,39.8,True
RET-000076,ORD-001447,2024-07-16,Wrong Size / Fit,66.34,51.95,False
RET-000077,ORD-001452,2024-07-20,Wrong Size / Fit,256.36,36.33,True
RET-000078,ORD-001460,2024-06-07,Buyer Remorse,164.73,43.73,True
RET-000079,ORD-001471,2024-10-06,Item Defective,145.28,47.09,False
RET-000080,ORD-001485,2024-07-22,Late Delivery,335.37,49.65,True
RET-000081,ORD-001487,2024-09-26,Item Defective,55.51,45.15,True
RET-000082,ORD-001517,2024-07-26,Wrong Size / Fit,294.26,35.78,True
RET-000083,ORD-001534,2024-06-22,Wrong Size / Fit,151.79,43.49,True
RET-000084,ORD-001540,2024-06-10,Late Delivery,309.78,36.68,True
RET-000085,ORD-001548,2024-07-05,Late Delivery,118.09,38.32,True
RET-000086,ORD-001550,2024-06-30,Buyer Remorse,272.13,38.94,True
RET-000087,ORD-001551,2024-07-26,Wrong Size / Fit,30.18,36.23,True
RET-000088,ORD-001564,2024-07-28,Wrong Size / Fit,180.05,36.2,True
RET-000089,ORD-001576,2024-08-27,Wrong Size / Fit,1105.98,45.42,True
RET-000090,ORD-001596,2024-10-09,Item Defective,343.01,37.94,False
RET-000091,ORD-001626,2024-08-24,Wrong Size / Fit,175.67,36.11,True
RET-000092,ORD-001644,2024-08-21,Item Defective,187.06,36.9,True
RET-000093,ORD-001717,2024-05-11,Wrong Size / Fit,510.23,38.2,True
RET-000094,ORD-001732,2024-08-11,Wrong Size / Fit,107.44,45.13,False
RET-000095,ORD-001760,2024-09-25,Late Delivery,46.16,45.1,True
RET-000096,ORD-001764,2024-04-22,Item Defective,187.6,47.12,True
RET-000097,ORD-001766,2024-06-24,Item Defective,119.05,49.2,False
RET-000098,ORD-001782,2024-04-11,Wrong Size / Fit,132.2,36.39,True
RET-000099,ORD-001806,2024-10-06,Buyer Remorse,69.47,51.94,True
RET-000100,ORD-001820,2024-04-26,Item Defective,151.24,38.68,True
RET-000101,ORD-001834,2024-09-20,Wrong Size / Fit,58.37,44.41,False
RET-000102,ORD-001858,2024-05-27,Item Defective,92.26,41.44,False
RET-000103,ORD-001891,2024-10-02,Buyer Remorse,328.66,46.33,True
RET-000104,ORD-001917,2024-09-21,Item Defective,45.7,40.22,False
RET-000105,ORD-001932,2024-05-23,Item Defective,61.54,51.12,True
RET-000106,ORD-001938,2024-07-21,Buyer Remorse,1045.46,48.6,True
RET-000107,ORD-001952,2024-04-26,Buyer Remorse,858.8,51.01,True
RET-000108,ORD-001966,2024-08-04,Late Delivery,331.94,50.36,False
RET-000109,ORD-002008,2024-06-23,Wrong Size / Fit,446.2,50.44,True
RET-000110,ORD-002068,2024-04-25,Late Delivery,204.46,51.88,True
RET-000111,ORD-002076,2024-10-02,Late Delivery,319.76,48.51,True
RET-000112,ORD-002089,2024-05-12,Wrong Size / Fit,189.54,50.81,True
RET-000113,ORD-002109,2024-05-02,Late Delivery,93.27,46.95,False
RET-000114,ORD-002116,2024-05-04,Wrong Size / Fit,143.7,40.23,True
RET-000115,ORD-002119,2024-06-01,Late Delivery,31.6,43.7,True
RET-000116,ORD-002146,2024-05-01,Item Defective,47.34,43.86,True
RET-000117,ORD-002147,2024-06-29,Buyer Remorse,136.83,44.17,True
RET-000118,ORD-002160,2024-06-08,Wrong Size / Fit,1008.37,46.74,True
RET-000119,ORD-002170,2024-08-05,Late Delivery,556.92,44.95,True
RET-000120,ORD-002199,2024-08-12,Wrong Size / Fit,78.48,47.15,True
RET-000121,ORD-002211,2024-08-16,Item Defective,378.16,40.23,True
RET-000122,ORD-002214,2024-07-02,Item Defective,250.86,48.72,False
RET-000123,ORD-002224,2024-10-09,Late Delivery,168.24,36.75,True
RET-000124,ORD-002252,2024-06-12,Late Delivery,138.58,37.06,True
RET-000125,ORD-002279,2024-07-10,Wrong Size / Fit,30.89,45.3,True
RET-000126,ORD-002281,2024-09-18,Buyer Remorse,25.51,45.66,True
RET-000127,ORD-002283,2024-09-28,Wrong Size / Fit,725.74,38.78,True
RET-000128,ORD-002342,2024-07-01,Late Delivery,44.09,36.18,True
RET-000129,ORD-002369,2024-04-19,Item Defective,280.25,45.56,True
RET-000130,ORD-002395,2024-07-14,Wrong Size / Fit,61.56,42.82,True
RET-000131,ORD-002431,2024-05-12,Item Defective,92.38,44.08,True
RET-000132,ORD-002457,2024-08-29,Wrong Size / Fit,137.23,37.52,True
RET-000133,ORD-002467,2024-05-18,Wrong Size / Fit,18.89,38.4,True
RET-000134,ORD-002474,2024-08-19,Wrong Size / Fit,106.4,42.85,True
RET-000135,ORD-002495,2024-06-01,Item Defective,406.95,35.98,True
RET-000136,ORD-002507,2024-06-01,Buyer Remorse,375.94,48.76,True
RET-000137,ORD-002527,2024-05-23,Wrong Size / Fit,97.94,38.87,True
RET-000138,ORD-002538,2024-08-24,Buyer Remorse,66.14,37.48,True
RET-000139,ORD-002574,2024-08-04,Late Delivery,319.26,51.58,True
RET-000140,ORD-002576,2024-08-08,Item Defective,89.39,38.41,True
RET-000141,ORD-002591,2024-04-21,Item Defective,27.07,35.51,True
RET-000142,ORD-002602,2024-05-07,Item Defective,273.89,46.04,True
RET-000143,ORD-002615,2024-09-18,Wrong Size / Fit,173.85,51.94,True
RET-000144,ORD-002617,2024-09-28,Wrong Size / Fit,356.52,38.79,True
RET-000145,ORD-002646,2024-07-24,Buyer Remorse,257.65,51.56,False
RET-000146,ORD-002649,2024-07-11,Late Delivery,14.94,51.75,True
RET-000147,ORD-002667,2024-08-30,Item Defective,1005.76,38.23,True
RET-000148,ORD-002693,2024-07-07,Item Defective,386.06,51.56,True
RET-000149,ORD-002697,2024-04-28,Buyer Remorse,1231.16,46.55,True
RET-000150,ORD-002721,2024-07-12,Item Defective,121.49,44.06,True
RET-000151,ORD-002732,2024-09-18,Wrong Size / Fit,79.65,47.21,True
RET-000152,ORD-002741,2024-04-20,Item Defective,153.33,39.13,True
RET-000153,ORD-002749,2024-05-25,Wrong Size / Fit,243.88,43.43,False
RET-000154,ORD-002753,2024-05-03,Late Delivery,83.77,41.59,True
RET-000155,ORD-002770,2024-05-11,Item Defective,390.18,40.62,False
RET-000156,ORD-002792,2024-04-29,Buyer Remorse,81.72,38.62,True
RET-000157,ORD-002813,2024-05-15,Item Defective,269.08,39.25,True
RET-000158,ORD-002821,2024-04-07,Wrong Size / Fit,165.75,47.66,True
RET-000159,ORD-002833,2024-06-22,Buyer Remorse,153.72,41.98,True
RET-000160,ORD-002836,2024-04-24,Wrong Size / Fit,984.3,48.92,True
RET-000161,ORD-002842,2024-09-02,Wrong Size / Fit,75.08,50.49,True
RET-000162,ORD-002845,2024-04-21,Buyer Remorse,947.53,38.37,True
RET-000163,ORD-002862,2024-06-03,Late Delivery,152.29,40.63,True
RET-000164,ORD-002872,2024-08-02,Item Defective,1053.04,42.57,True
RET-000165,ORD-002873,2024-09-01,Buyer Remorse,26.79,45.36,True
RET-000166,ORD-002904,2024-07-24,Buyer Remorse,167.1,47.54,True
RET-000167,ORD-002952,2024-06-01,Item Defective,125.01,47.84,True
RET-000168,ORD-002981,2024-08-26,Late Delivery,59.53,40.88,False
RET-000169,ORD-003025,2024-06-19,Item Defective,418.44,44.32,False
RET-000170,ORD-003048,2024-04-29,Item Defective,43.41,47.47,False
RET-000171,ORD-003060,2024-05-01,Item Defective,56.62,42.78,True
RET-000172,ORD-003070,2024-06-11,Item Defective,174.68,46.16,True
RET-000173,ORD-003075,2024-06-14,Wrong Size / Fit,31.51,37.55,True
RET-000174,ORD-003089,2024-04-15,Wrong Size / Fit,127.27,51.76,True
RET-000175,ORD-003106,2024-08-21,Item Defective,80.44,40.18,False
RET-000176,ORD-003121,2024-04-22,Wrong Size / Fit,78.31,50.09,True
RET-000177,ORD-003214,2024-05-08,Wrong Size / Fit,94.43,42.73,True
RET-000178,ORD-003220,2024-05-05,Wrong Size / Fit,94.61,46.73,True
RET-000179,ORD-003234,2024-09-26,Item Defective,30.6,51.19,True
RET-000180,ORD-003241,2024-06-30,Item Defective,630.73,48.65,True
RET-000181,ORD-003298,2024-06-19,Late Delivery,259.37,51.8,False
RET-000182,ORD-003347,2024-04-16,Late Delivery,127.66,43.67,True
RET-000183,ORD-003372,2024-09-05,Wrong Size / Fit,55.0,49.05,True
RET-000184,ORD-003379,2024-06-06,Wrong Size / Fit,521.11,41.86,False
RET-000185,ORD-003428,2024-04-28,Wrong Size / Fit,184.96,44.47,False
RET-000186,ORD-003454,2024-07-28,Item Defective,158.99,43.68,True
RET-000187,ORD-003492,2024-08-25,Wrong Size / Fit,137.61,49.51,True
RET-000188,ORD-003497,2024-08-19,Item Defective,440.93,41.47,True
RET-000189,ORD-003528,2024-09-01,Buyer Remorse,52.87,36.64,False
RET-000190,ORD-003539,2024-05-02,Wrong Size / Fit,269.89,49.53,True
RET-000191,ORD-003571,2024-07-27,Wrong Size / Fit,29.76,39.0,False
RET-000192,ORD-003581,2024-09-23,Item Defective,440.22,39.3,True
RET-000193,ORD-003587,2024-09-15,Wrong Size / Fit,261.19,50.56,True
RET-000194,ORD-003641,2024-09-17,Item Defective,58.43,51.23,True
RET-000195,ORD-003650,2024-08-19,Wrong Size / Fit,41.6,49.14,True
RET-000196,ORD-003669,2024-09-26,Wrong Size / Fit,151.73,46.58,True
RET-000197,ORD-003695,2024-05-14,Item Defective,15.67,50.38,True
RET-000198,ORD-003715,2024-05-30,Wrong Size / Fit,271.99,46.01,True
RET-000199,ORD-003718,2024-09-02,Late Delivery,120.75,35.63,True
RET-000200,ORD-003743,2024-06-11,Wrong Size / Fit,82.8,45.89,True
RET-000201,ORD-003753,2024-06-20,Item Defective,108.38,42.58,False
RET-000202,ORD-003798,2024-04-29,Wrong Size / Fit,471.81,39.34,True
RET-000203,ORD-003806,2024-09-07,Item Defective,154.77,41.46,True
RET-000204,ORD-003837,2024-08-08,Late Delivery,36.43,49.66,True
RET-000205,ORD-003863,2024-09-24,Late Delivery,183.09,36.09,True
RET-000206,ORD-003871,2024-08-14,Wrong Size / Fit,52.74,49.82,True
RET-000207,ORD-003891,2024-06-15,Wrong Size / Fit,490.82,36.12,True
RET-000208,ORD-003897,2024-06-12,Item Defective,55.92,35.07,True
RET-000209,ORD-003916,2024-06-24,Wrong Size / Fit,144.1,35.71,True
RET-000210,ORD-003966,2024-04-30,Item Defective,81.81,35.26,True
RET-000211,ORD-004000,2024-06-20,Item Defective,192.16,38.64,True
RET-000212,ORD-004028,2024-09-19,Wrong Size / Fit,111.49,37.66,True
RET-000213,ORD-004095,2024-09-25,Wrong Size / Fit,60.65,48.52,True
RET-000214,ORD-004120,2024-04-28,Item Defective,196.16,43.38,True
RET-000215,ORD-004132,2024-07-21,Item Defective,54.42,43.55,True
RET-000216,ORD-004179,2024-09-05,Wrong Size / Fit,60.19,35.42,True
RET-000217,ORD-004182,2024-08-27,Wrong Size / Fit,163.36,43.08,True
RET-000218,ORD-004183,2024-10-09,Late Delivery,113.58,37.01,True
RET-000219,ORD-004218,2024-08-18,Late Delivery,17.99,50.27,False
RET-000220,ORD-004262,2024-07-18,Late Delivery,38.22,45.18,True
RET-000221,ORD-004268,2024-05-20,Late Delivery,57.22,41.29,True
RET-000222,ORD-004279,2024-07-08,Item Defective,191.16,37.41,False
RET-000223,ORD-004282,2024-04-29,Wrong Size / Fit,468.54,50.1,False
RET-000224,ORD-004328,2024-08-13,Wrong Size / Fit,272.16,49.02,True
RET-000225,ORD-004338,2024-06-13,Wrong Size / Fit,75.77,48.01,True
RET-000226,ORD-004400,2024-06-24,Wrong Size / Fit,401.51,40.9,True
RET-000227,ORD-004419,2024-10-04,Buyer Remorse,53.74,44.6,True
RET-000228,ORD-004424,2024-04-19,Item Defective,128.97,38.99,True
RET-000229,ORD-004439,2024-05-20,Item Defective,64.11,47.95,False
RET-000230,ORD-004440,2024-09-06,Item Defective,200.92,50.57,True
RET-000231,ORD-004441,2024-08-02,Wrong Size / Fit,319.54,42.82,True
RET-000232,ORD-004471,2024-05-25,Wrong Size / Fit,428.92,40.93,False
RET-000233,ORD-004609,2024-08-30,Wrong Size / Fit,248.31,51.8,True
RET-000234,ORD-004611,2024-08-17,Late Delivery,314.67,35.89,True
RET-000235,ORD-004631,2024-05-04,Item Defective,30.95,49.41,True
RET-000236,ORD-004643,2024-07-13,Wrong Size / Fit,39.04,42.69,True
RET-000237,ORD-004665,2024-04-08,Late Delivery,202.52,48.76,False
RET-000238,ORD-004672,2024-06-20,Wrong Size / Fit,166.54,50.56,False
RET-000239,ORD-004692,2024-09-13,Item Defective,71.29,41.64,True
RET-000240,ORD-004709,2024-04-15,Buyer Remorse,83.8,48.05,True
RET-000241,ORD-004730,2024-07-23,Wrong Size / Fit,178.54,48.04,True
RET-000242,ORD-004733,2024-09-13,Item Defective,17.84,37.42,True
RET-000243,ORD-004743,2024-09-23,Item Defective,87.39,35.32,True
RET-000244,ORD-004864,2024-09-23,Late Delivery,29.35,44.33,False
RET-000245,ORD-004866,2024-04-18,Wrong Size / Fit,443.45,43.09,False
RET-000246,ORD-004875,2024-06-12,Wrong Size / Fit,573.39,48.91,True
RET-000247,ORD-004876,2024-09-03,Item Defective,26.15,46.04,True
RET-000248,ORD-004918,2024-05-29,Wrong Size / Fit,201.15,35.35,True
RET-000249,ORD-004931,2024-04-30,Wrong Size / Fit,37.3,43.26,True
RET-000250,ORD-004951,2024-09-20,Wrong Size / Fit,35.77,40.55,True
RET-000251,ORD-004965,2024-09-09,Buyer Remorse,122.17,37.55,True
RET-000252,ORD-004978,2024-06-05,Wrong Size / Fit,412.39,39.47,True
RET-000253,ORD-004984,2024-08-10,Late Delivery,100.97,38.74,True
RET-000254,ORD-004991,2024-05-29,Wrong Size / Fit,85.44,35.02,True
RET-000255,ORD-005017,2024-06-20,Wrong Size / Fit,182.5,37.91,True
RET-000256,ORD-005048,2024-06-02,Wrong Size / Fit,453.83,50.9,True
RET-000257,ORD-005052,2024-10-02,Late Delivery,26.02,41.91,True
RET-000258,ORD-005054,2024-06-26,Buyer Remorse,61.02,44.69,True
RET-000259,ORD-005072,2024-07-26,Wrong Size / Fit,71.37,37.36,True
RET-000260,ORD-005110,2024-06-24,Wrong Size / Fit,43.86,50.71,True
RET-000261,ORD-005153,2024-09-17,Wrong Size / Fit,120.13,40.89,True
RET-000262,ORD-005179,2024-09-21,Late Delivery,58.69,49.55,True
RET-000263,ORD-005191,2024-09-01,Item Defective,177.07,42.31,True
RET-000264,ORD-005200,2024-05-13,Buyer Remorse,48.28,51.62,True
RET-000265,ORD-005218,2024-05-28,Item Defective,152.32,36.23,True
RET-000266,ORD-005234,2024-08-20,Late Delivery,60.4,40.03,True
RET-000267,ORD-005253,2024-07-12,Item Defective,161.51,45.94,True
RET-000268,ORD-005295,2024-05-13,Wrong Size / Fit,988.72,44.69,False
RET-000269,ORD-005313,2024-08-02,Wrong Size / Fit,436.18,44.95,True
RET-000270,ORD-005321,2024-09-05,Item Defective,18.59,38.58,True
RET-000271,ORD-005326,2024-04-25,Item Defective,114.09,46.13,True
RET-000272,ORD-005338,2024-09-05,Wrong Size / Fit,176.83,43.84,True
RET-000273,ORD-005388,2024-08-23,Late Delivery,80.32,38.23,True
RET-000274,ORD-005446,2024-05-17,Wrong Size / Fit,138.24,47.76,True
RET-000275,ORD-005460,2024-09-29,Late Delivery,18.32,48.37,True
RET-000276,ORD-005466,2024-07-20,Wrong Size / Fit,132.28,42.69,True
RET-000277,ORD-005469,2024-05-29,Wrong Size / Fit,15.66,41.44,True
RET-000278,ORD-005515,2024-08-13,Wrong Size / Fit,29.8,38.13,True
RET-000279,ORD-005538,2024-08-01,Wrong Size / Fit,17.99,42.69,True
RET-000280,ORD-005568,2024-05-06,Wrong Size / Fit,413.18,37.76,True
RET-000281,ORD-005578,2024-07-24,Late Delivery,86.57,44.4,True
RET-000282,ORD-005614,2024-07-25,Buyer Remorse,110.69,45.88,True
RET-000283,ORD-005673,2024-04-25,Item Defective,124.17,38.95,True
RET-000284,ORD-005703,2024-06-29,Item Defective,383.48,35.08,True
RET-000285,ORD-005711,2024-06-25,Wrong Size / Fit,27.12,48.7,True
RET-000286,ORD-005712,2024-08-23,Item Defective,266.05,47.58,False
RET-000287,ORD-005720,2024-04-19,Wrong Size / Fit,1198.18,50.42,False
RET-000288,ORD-005721,2024-07-20,Wrong Size / Fit,40.14,42.83,True
RET-000289,ORD-005732,2024-08-23,Late Delivery,36.35,45.55,False
RET-000290,ORD-005733,2024-05-05,Wrong Size / Fit,82.6,42.51,False
RET-000291,ORD-005743,2024-06-08,Buyer Remorse,565.68,39.36,False
RET-000292,ORD-005749,2024-09-15,Late Delivery,113.45,49.11,True
RET-000293,ORD-005783,2024-05-05,Buyer Remorse,240.53,43.18,True
RET-000294,ORD-005807,2024-10-02,Late Delivery,26.5,49.89,True
RET-000295,ORD-005826,2024-07-18,Item Defective,217.78,35.96,True
RET-000296,ORD-005833,2024-07-16,Late Delivery,129.0,51.99,True
RET-000297,ORD-005889,2024-09-23,Wrong Size / Fit,228.76,35.99,True
RET-000298,ORD-005938,2024-08-20,Item Defective,119.91,51.15,False
RET-000299,ORD-005985,2024-06-24,Late Delivery,331.2,47.69,True
RET-000300,ORD-006000,2024-05-02,Buyer Remorse,354.77,51.23,True
RET-000301,ORD-006003,2024-10-01,Item Defective,69.79,46.28,True
RET-000302,ORD-006042,2024-04-20,Late Delivery,62.97,42.42,True
RET-000303,ORD-006070,2024-06-05,Item Defective,153.08,37.45,True
RET-000304,ORD-006106,2024-04-21,Wrong Size / Fit,131.52,39.33,False
RET-000305,ORD-006119,2024-08-12,Wrong Size / Fit,601.68,48.63,True
RET-000306,ORD-006121,2024-05-01,Wrong Size / Fit,352.58,51.11,True
RET-000307,ORD-006122,2024-05-06,Late Delivery,73.77,42.31,True
RET-000308,ORD-006132,2024-04-22,Wrong Size / Fit,289.56,40.47,False
RET-000309,ORD-006150,2024-07-26,Late Delivery,172.94,50.44,True
RET-000310,ORD-006154,2024-06-01,Wrong Size / Fit,224.4,35.84,True
RET-000311,ORD-006156,2024-04-14,Late Delivery,178.94,39.61,True
RET-000312,ORD-006161,2024-08-07,Late Delivery,81.25,39.73,False
RET-000313,ORD-006231,2024-05-07,Item Defective,123.15,44.42,True
RET-000314,ORD-006236,2024-08-09,Wrong Size / Fit,285.1,43.72,True
RET-000315,ORD-006237,2024-09-28,Wrong Size / Fit,878.36,47.94,True
RET-000316,ORD-006243,2024-09-16,Wrong Size / Fit,118.71,46.76,True
RET-000317,ORD-006290,2024-08-26,Late Delivery,452.78,49.4,True
RET-000318,ORD-006350,2024-04-24,Wrong Size / Fit,91.89,35.65,False
RET-000319,ORD-006353,2024-09-26,Late Delivery,38.76,46.58,False
RET-000320,ORD-006354,2024-07-05,Item Defective,57.02,48.39,True
RET-000321,ORD-006375,2024-06-17,Wrong Size / Fit,44.04,39.09,True
RET-000322,ORD-006383,2024-09-26,Item Defective,242.53,36.41,True
RET-000323,ORD-006399,2024-04-22,Late Delivery,349.48,40.81,True
RET-000324,ORD-006434,2024-08-14,Item Defective,158.65,39.18,True
RET-000325,ORD-006449,2024-05-05,Wrong Size / Fit,189.95,49.66,True
RET-000326,ORD-006452,2024-09-27,Late Delivery,259.51,42.96,True
RET-000327,ORD-006558,2024-05-15,Item Defective,104.39,37.6,True
RET-000328,ORD-006573,2024-07-26,Wrong Size / Fit,148.58,49.19,True
RET-000329,ORD-006578,2024-07-08,Wrong Size / Fit,1047.62,42.19,True
RET-000330,ORD-006606,2024-08-14,Wrong Size / Fit,152.64,37.32,True
RET-000331,ORD-006664,2024-08-08,Late Delivery,121.03,46.46,True
RET-000332,ORD-006698,2024-09-05,Late Delivery,255.91,41.61,True
RET-000333,ORD-006702,2024-04-30,Wrong Size / Fit,37.97,38.1,True
RET-000334,ORD-006706,2024-04-27,Wrong Size / Fit,155.08,35.06,True
RET-000335,ORD-006734,2024-04-11,Buyer Remorse,291.53,41.61,True
RET-000336,ORD-006747,2024-06-10,Item Defective,184.56,45.32,True
RET-000337,ORD-006761,2024-05-06,Wrong Size / Fit,185.19,50.97,False
RET-000338,ORD-006794,2024-07-23,Wrong Size / Fit,54.92,40.95,True
RET-000339,ORD-006795,2024-08-29,Wrong Size / Fit,157.05,48.7,True
RET-000340,ORD-006805,2024-05-15,Late Delivery,514.99,41.04,False
RET-000341,ORD-006811,2024-05-30,Buyer Remorse,400.71,48.0,False
RET-000342,ORD-006825,2024-08-17,Wrong Size / Fit,120.37,35.7,True
RET-000343,ORD-006841,2024-06-14,Late Delivery,114.29,37.75,False
RET-000344,ORD-006849,2024-04-30,Wrong Size / Fit,192.44,35.12,False
RET-000345,ORD-006856,2024-09-24,Late Delivery,207.2,41.1,True
RET-000346,ORD-006876,2024-08-26,Wrong Size / Fit,138.69,36.74,True
RET-000347,ORD-006896,2024-08-06,Late Delivery,192.1,39.92,True
RET-000348,ORD-006904,2024-05-07,Wrong Size / Fit,534.78,39.22,True
RET-000349,ORD-006919,2024-06-10,Item Defective,82.92,51.35,True
RET-000350,ORD-006920,2024-07-01,Item Defective,187.28,40.77,False
RET-000351,ORD-006941,2024-04-21,Item Defective,905.06,39.74,True
RET-000352,ORD-006957,2024-08-01,Buyer Remorse,873.76,38.9,True
RET-000353,ORD-007003,2024-09-10,Buyer Remorse,234.1,48.14,True
RET-000354,ORD-007014,2024-05-04,Item Defective,44.18,38.33,True
RET-000355,ORD-007038,2024-05-15,Item Defective,52.08,39.69,True
RET-000356,ORD-007074,2024-09-11,Late Delivery,307.32,46.27,True
RET-000357,ORD-007115,2024-06-22,Buyer Remorse,186.28,40.03,True
RET-000358,ORD-007118,2024-07-19,Wrong Size / Fit,55.2,39.96,True
RET-000359,ORD-007149,2024-08-01,Wrong Size / Fit,138.85,46.02,True
RET-000360,ORD-007166,2024-06-23,Item Defective,143.2,37.97,False
