spend_id,spend_date,channel,campaign,spend_amount,impressions,clicks,attributed_orders,attributed_revenue
MKT-00024,2024-04-06,Email Marketing,Lifecycle VIP Retention,898.26,107790,7635,49,25970.0
MKT-00025,2024-04-07,Paid Social,Meta Retargeting & Lookalike,3657.63,274321,10241,51,25245.0
MKT-00026,2024-04-07,Google Ads,Search Intent High-Value,3176.41,142938,13340,52,25480.0
MKT-00027,2024-04-07,Affiliate,Cashback & Review Partners,1428.18,42845,4427,31,15810.0
MKT-00028,2024-04-07,Email Marketing,Lifecycle VIP Retention,930.69,111682,7910,51,27030.0
MKT-00029,2024-04-08,Paid Social,Meta Retargeting & Lookalike,3627.82,272086,10157,50,24750.0
MKT-00030,2024-04-08,Google Ads,Search Intent High-Value,3119.05,140357,13100,51,24990.0
MKT-00031,2024-04-08,Affiliate,Cashback & Review Partners,1428.91,42867,4429,31,15810.0
MKT-00032,2024-04-08,Email Marketing,Lifecycle VIP Retention,914.73,109768,7775,50,26500.0
MKT-00033,2024-04-09,Paid Social,Meta Retargeting & Lookalike,3839.29,287946,10750,53,26235.0
MKT-00034,2024-04-09,Google Ads,Search Intent High-Value,3270.91,147191,13737,53,25970.0
MKT-00035,2024-04-09,Affiliate,Cashback & Review Partners,1409.94,42298,4370,31,15810.0
MKT-00036,2024-04-09,Email Marketing,Lifecycle VIP Retention,916.87,110024,7793,50,26500.0
MKT-00037,2024-04-10,Paid Social,Meta Retargeting & Lookalike,3885.74,291430,10880,54,26730.0
MKT-00038,2024-04-10,Google Ads,Search Intent High-Value,3140.64,141328,13190,51,24990.0
MKT-00039,2024-04-10,Affiliate,Cashback & Review Partners,1405.24,42157,4356,31,15810.0
MKT-00040,2024-04-10,Email Marketing,Lifecycle VIP Retention,874.27,104912,7431,48,25440.0
MKT-00041,2024-04-11,Paid Social,Meta Retargeting & Lookalike,3681.98,276148,10309,51,25245.0
MKT-00042,2024-04-11,Google Ads,Search Intent High-Value,3219.71,144886,13522,52,25480.0
MKT-00043,2024-04-11,Affiliate,Cashback & Review Partners,1420.0,42599,4401,31,15810.0
MKT-00044,2024-04-11,Email Marketing,Lifecycle VIP Retention,886.63,106395,7536,49,25970.0
MKT-00045,2024-04-12,Paid Social,Meta Retargeting & Lookalike,3717.4,278805,10408,52,25740.0
MKT-00046,2024-04-12,Google Ads,Search Intent High-Value,3130.29,140862,13147,51,24990.0
MKT-00047,2024-04-12,Affiliate,Cashback & Review Partners,1473.06,44191,4566,32,16320.0
MKT-00048,2024-04-12,Email Marketing,Lifecycle VIP Retention,918.6,110231,7808,51,27030.0
MKT-00049,2024-04-13,Paid Social,Meta Retargeting & Lookalike,3694.21,277066,10343,51,25245.0
MKT-00050,2024-04-13,Google Ads,Search Intent High-Value,3174.1,142834,13331,52,25480.0
MKT-00051,2024-04-13,Affiliate,Cashback & Review Partners,1425.91,42777,4420,31,15810.0
MKT-00052,2024-04-13,Email Marketing,Lifecycle VIP Retention,902.41,108289,7670,50,26500.0
MKT-00053,2024-04-14,Paid Social,Meta Retargeting & Lookalike,3896.34,292225,10909,54,26730.0
MKT-00054,2024-04-14,Google Ads,Search Intent High-Value,3282.78,147725,13787,53,25970.0
MKT-00055,2024-04-14,Affiliate,Cashback & Review Partners,1442.42,43272,4471,32,16320.0
MKT-00056,2024-04-14,Email Marketing,Lifecycle VIP Retention,900.16,108019,7651,50,26500.0
MKT-00057,2024-04-15,Paid Social,Meta Retargeting & Lookalike,3630.87,272315,10166,50,24750.0
MKT-00058,2024-04-15,Google Ads,Search Intent High-Value,3200.81,144036,13443,52,25480.0
MKT-00059,2024-04-15,Affiliate,Cashback & Review Partners,1400.5,42015,4341,31,15810.0
MKT-00060,2024-04-15,Email Marketing,Lifecycle VIP Retention,852.87,102344,7249,47,24910.0
MKT-00061,2024-04-16,Paid Social,Meta Retargeting & Lookalike,3668.83,275162,10272,51,25245.0
MKT-00062,2024-04-16,Google Ads,Search Intent High-Value,3240.57,145825,13610,53,25970.0
MKT-00063,2024-04-16,Affiliate,Cashback & Review Partners,1442.28,43268,4471,32,16320.0
MKT-00064,2024-04-16,Email Marketing,Lifecycle VIP Retention,933.42,112010,7934,51,27030.0
MKT-00065,2024-04-17,Paid Social,Meta Retargeting & Lookalike,3642.41,273180,10198,51,25245.0
MKT-00066,2024-04-17,Google Ads,Search Intent High-Value,3132.76,140974,13157,51,24990.0
MKT-00067,2024-04-17,Affiliate,Cashback & Review Partners,1484.02,44520,4600,32,16320.0
MKT-00068,2024-04-17,Email Marketing,Lifecycle VIP Retention,904.5,108540,7688,50,26500.0
MKT-00069,2024-04-18,Paid Social,Meta Retargeting & Lookalike,3760.22,282016,10528,52,25740.0
MKT-00070,2024-04-18,Google Ads,Search Intent High-Value,3140.4,141318,13189,51,24990.0
MKT-00071,2024-04-18,Affiliate,Cashback & Review Partners,1459.0,43769,4522,32,16320.0
MKT-00072,2024-04-18,Email Marketing,Lifecycle VIP Retention,854.09,102491,7259,47,24910.0
MKT-00073,2024-04-19,Paid Social,Meta Retargeting & Lookalike,3793.36,284501,10621,53,26235.0
MKT-00074,2024-04-19,Google Ads,Search Intent High-Value,3205.95,144267,13464,52,25480.0
MKT-00075,2024-04-19,Affiliate,Cashback & Review Partners,1462.03,43860,4532,32,16320.0
MKT-00076,2024-04-19,Email Marketing,Lifecycle VIP Retention,851.03,102123,7233,47,24910.0
MKT-00077,2024-04-20,Paid Social,Meta Retargeting & Lookalike,3638.59,272893,10188,51,25245.0
MKT-00078,2024-04-20,Google Ads,Search Intent High-Value,3181.17,143152,13360,52,25480.0
MKT-00079,2024-04-20,Affiliate,Cashback & Review Partners,1436.81,43104,4454,31,15810.0
MKT-00080,2024-04-20,Email Marketing,Lifecycle VIP Retention,876.78,105213,7452,48,25440.0
MKT-00081,2024-04-21,Paid Social,Meta Retargeting & Lookalike,3829.58,287218,10722,53,26235.0
MKT-00082,2024-04-21,Google Ads,Search Intent High-Value,3217.15,144771,13512,52,25480.0
MKT-00083,2024-04-21,Affiliate,Cashback & Review Partners,1449.86,43495,4494,32,16320.0
MKT-00084,2024-04-21,Email Marketing,Lifecycle VIP Retention,851.33,102159,7236,47,24910.0
MKT-00085,2024-04-22,Paid Social,Meta Retargeting & Lookalike,3700.22,277516,10360,51,25245.0
MKT-00086,2024-04-22,Google Ads,Search Intent High-Value,3286.82,147906,13804,53,25970.0
MKT-00087,2024-04-22,Affiliate,Cashback & Review Partners,1441.79,43253,4469,32,16320.0
MKT-00088,2024-04-22,Email Marketing,Lifecycle VIP Retention,870.36,104442,7398,48,25440.0
MKT-00089,2024-04-23,Paid Social,Meta Retargeting & Lookalike,3793.68,284526,10622,53,26235.0
MKT-00090,2024-04-23,Google Ads,Search Intent High-Value,3118.64,140338,13098,51,24990.0
MKT-00091,2024-04-23,Affiliate,Cashback & Review Partners,1426.62,42798,4422,31,15810.0
MKT-00092,2024-04-23,Email Marketing,Lifecycle VIP Retention,881.21,105745,7490,48,25440.0
MKT-00093,2024-04-24,Paid Social,Meta Retargeting & Lookalike,3756.3,281722,10517,52,25740.0
MKT-00094,2024-04-24,Google Ads,Search Intent High-Value,3195.05,143777,13419,52,25480.0
MKT-00095,2024-04-24,Affiliate,Cashback & Review Partners,1494.41,44832,4632,33,16830.0
MKT-00096,2024-04-24,Email Marketing,Lifecycle VIP Retention,913.66,109639,7766,50,26500.0
MKT-00097,2024-04-25,Paid Social,Meta Retargeting & Lookalike,3701.62,277621,10364,51,25245.0
MKT-00098,2024-04-25,Google Ads,Search Intent High-Value,3191.71,143626,13405,52,25480.0
MKT-00099,2024-04-25,Affiliate,Cashback & Review Partners,1414.85,42445,4386,31,15810.0
MKT-00100,2024-04-25,Email Marketing,Lifecycle VIP Retention,881.93,105831,7496,48,25440.0
MKT-00101,2024-04-26,Paid Social,Meta Retargeting & Lookalike,3692.06,276904,10337,51,25245.0
MKT-00102,2024-04-26,Google Ads,Search Intent High-Value,3178.4,143027,13349,52,25480.0
MKT-00103,2024-04-26,Affiliate,Cashback & Review Partners,1415.99,42479,4389,31,15810.0
MKT-00104,2024-04-26,Email Marketing,Lifecycle VIP Retention,911.18,109341,7745,50,26500.0
MKT-00105,2024-04-27,Paid Social,Meta Retargeting & Lookalike,3819.49,286461,10694,53,26235.0
MKT-00106,2024-04-27,Google Ads,Search Intent High-Value,3179.23,143065,13352,52,25480.0
MKT-00107,2024-04-27,Affiliate,Cashback & Review Partners,1448.34,43450,4489,32,16320.0
MKT-00108,2024-04-27,Email Marketing,Lifecycle VIP Retention,915.03,109803,7777,50,26500.0
MKT-00109,2024-04-28,Paid Social,Meta Retargeting & Lookalike,3621.68,271625,10140,50,24750.0
MKT-00110,2024-04-28,Google Ads,Search Intent High-Value,3221.94,144987,13532,52,25480.0
MKT-00111,2024-04-28,Affiliate,Cashback & Review Partners,1403.8,42114,4351,31,15810.0
MKT-00112,2024-04-28,Email Marketing,Lifecycle VIP Retention,926.13,111135,7872,51,27030.0
MKT-00113,2024-04-29,Paid Social,Meta Retargeting & Lookalike,3879.77,290982,10863,54,26730.0
MKT-00114,2024-04-29,Google Ads,Search Intent High-Value,3291.16,148102,13822,53,25970.0
MKT-00115,2024-04-29,Affiliate,Cashback & Review Partners,1468.95,44068,4553,32,16320.0
MKT-00116,2024-04-29,Email Marketing,Lifecycle VIP Retention,875.29,105034,7439,48,25440.0
MKT-00117,2024-04-30,Paid Social,Meta Retargeting & Lookalike,3892.38,291928,10898,54,26730.0
MKT-00118,2024-04-30,Google Ads,Search Intent High-Value,3265.6,146951,13715,53,25970.0
MKT-00119,2024-04-30,Affiliate,Cashback & Review Partners,1481.01,44430,4591,32,16320.0
MKT-00120,2024-04-30,Email Marketing,Lifecycle VIP Retention,935.63,112275,7952,51,27030.0
MKT-00121,2024-05-01,Paid Social,Meta Retargeting & Lookalike,3886.94,291520,10883,54,26730.0
MKT-00122,2024-05-01,Google Ads,Search Intent High-Value,3126.1,140674,13129,51,24990.0
MKT-00123,2024-05-01,Affiliate,Cashback & Review Partners,1413.02,42390,4380,31,15810.0
MKT-00124,2024-05-01,Email Marketing,Lifecycle VIP Retention,898.44,107812,7636,49,25970.0
MKT-00125,2024-05-02,Paid Social,Meta Retargeting & Lookalike,3881.82,291136,10869,54,26730.0
MKT-00126,2024-05-02,Google Ads,Search Intent High-Value,3138.04,141211,13179,51,24990.0
MKT-00127,2024-05-02,Affiliate,Cashback & Review Partners,1428.76,42862,4429,31,15810.0
MKT-00128,2024-05-02,Email Marketing,Lifecycle VIP Retention,892.8,107135,7588,49,25970.0
MKT-00129,2024-05-03,Paid Social,Meta Retargeting & Lookalike,3627.42,272056,10156,50,24750.0
MKT-00130,2024-05-03,Google Ads,Search Intent High-Value,3121.78,140480,13111,51,24990.0
MKT-00131,2024-05-03,Affiliate,Cashback & Review Partners,1476.32,44289,4576,32,16320.0
MKT-00132,2024-05-03,Email Marketing,Lifecycle VIP Retention,946.63,113595,8046,52,27560.0
MKT-00133,2024-05-04,Paid Social,Meta Retargeting & Lookalike,3663.36,274752,10257,51,25245.0
MKT-00134,2024-05-04,Google Ads,Search Intent High-Value,3163.58,142360,13287,51,24990.0
MKT-00135,2024-05-04,Affiliate,Cashback & Review Partners,1488.55,44656,4614,33,16830.0
MKT-00136,2024-05-04,Email Marketing,Lifecycle VIP Retention,872.3,104675,7414,48,25440.0
MKT-00137,2024-05-05,Paid Social,Meta Retargeting & Lookalike,3624.98,271873,10149,50,24750.0
MKT-00138,2024-05-05,Google Ads,Search Intent High-Value,3230.5,145372,13568,52,25480.0
MKT-00139,2024-05-05,Affiliate,Cashback & Review Partners,1452.31,43569,4502,32,16320.0
MKT-00140,2024-05-05,Email Marketing,Lifecycle VIP Retention,891.66,106999,7579,49,25970.0
MKT-00141,2024-05-06,Paid Social,Meta Retargeting & Lookalike,3609.19,270689,10105,50,24750.0
MKT-00142,2024-05-06,Google Ads,Search Intent High-Value,3120.36,140416,13105,51,24990.0
MKT-00143,2024-05-06,Affiliate,Cashback & Review Partners,1490.88,44726,4621,33,16830.0
MKT-00144,2024-05-06,Email Marketing,Lifecycle VIP Retention,930.84,111701,7912,51,27030.0
MKT-00145,2024-05-07,Paid Social,Meta Retargeting & Lookalike,3871.13,290334,10839,54,26730.0
MKT-00146,2024-05-07,Google Ads,Search Intent High-Value,3151.72,141827,13237,51,24990.0
MKT-00147,2024-05-07,Affiliate,Cashback & Review Partners,1406.03,42181,4358,31,15810.0
MKT-00148,2024-05-07,Email Marketing,Lifecycle VIP Retention,928.85,111462,7895,51,27030.0
MKT-00149,2024-05-08,Paid Social,Meta Retargeting & Lookalike,3879.98,290998,10863,54,26730.0
MKT-00150,2024-05-08,Google Ads,Search Intent High-Value,3179.92,143096,13355,52,25480.0
MKT-00151,2024-05-08,Affiliate,Cashback & Review Partners,1498.94,44968,4646,33,16830.0
MKT-00152,2024-05-08,Email Marketing,Lifecycle VIP Retention,926.68,111201,7876,51,27030.0
MKT-00153,2024-05-09,Paid Social,Meta Retargeting & Lookalike,3636.58,272743,10182,51,25245.0
MKT-00154,2024-05-09,Google Ads,Search Intent High-Value,3241.4,145863,13613,53,25970.0
MKT-00155,2024-05-09,Affiliate,Cashback & Review Partners,1414.99,42449,4386,31,15810.0
MKT-00156,2024-05-09,Email Marketing,Lifecycle VIP Retention,892.98,107158,7590,49,25970.0
MKT-00157,2024-05-10,Paid Social,Meta Retargeting & Lookalike,3851.58,288868,10784,54,26730.0
MKT-00158,2024-05-10,Google Ads,Search Intent High-Value,3259.15,146661,13688,53,25970.0
MKT-00159,2024-05-10,Affiliate,Cashback & Review Partners,1480.98,44429,4591,32,16320.0
MKT-00160,2024-05-10,Email Marketing,Lifecycle VIP Retention,911.84,109421,7750,50,26500.0
MKT-00161,2024-05-11,Paid Social,Meta Retargeting & Lookalike,3709.07,278180,10385,52,25740.0
MKT-00162,2024-05-11,Google Ads,Search Intent High-Value,3106.0,139770,13045,50,24500.0
MKT-00163,2024-05-11,Affiliate,Cashback & Review Partners,1435.49,43064,4450,31,15810.0
MKT-00164,2024-05-11,Email Marketing,Lifecycle VIP Retention,934.53,112143,7943,51,27030.0
MKT-00165,2024-05-12,Paid Social,Meta Retargeting & Lookalike,3754.22,281566,10511,52,25740.0
MKT-00166,2024-05-12,Google Ads,Search Intent High-Value,3264.28,146892,13709,53,25970.0
MKT-00167,2024-05-12,Affiliate,Cashback & Review Partners,1416.65,42499,4391,31,15810.0
MKT-00168,2024-05-12,Email Marketing,Lifecycle VIP Retention,882.74,105928,7503,49,25970.0
MKT-00169,2024-05-13,Paid Social,Meta Retargeting & Lookalike,3842.72,288203,10759,53,26235.0
MKT-00170,2024-05-13,Google Ads,Search Intent High-Value,3135.33,141089,13168,51,24990.0
MKT-00171,2024-05-13,Affiliate,Cashback & Review Partners,1478.94,44368,4584,32,16320.0
MKT-00172,2024-05-13,Email Marketing,Lifecycle VIP Retention,919.7,110363,7817,51,27030.0
MKT-00173,2024-05-14,Paid Social,Meta Retargeting & Lookalike,3732.93,279969,10452,52,25740.0
MKT-00174,2024-05-14,Google Ads,Search Intent High-Value,3287.43,147934,13807,53,25970.0
MKT-00175,2024-05-14,Affiliate,Cashback & Review Partners,1434.48,43034,4446,31,15810.0
MKT-00176,2024-05-14,Email Marketing,Lifecycle VIP Retention,908.86,109062,7725,50,26500.0
MKT-00177,2024-05-15,Paid Social,Meta Retargeting & Lookalike,3855.12,289133,10794,54,26730.0
MKT-00178,2024-05-15,Google Ads,Search Intent High-Value,3138.64,141238,13182,51,24990.0
MKT-00179,2024-05-15,Affiliate,Cashback & Review Partners,1469.28,44078,4554,32,16320.0
MKT-00180,2024-05-15,Email Marketing,Lifecycle VIP Retention,882.26,105870,7499,49,25970.0
MKT-00181,2024-05-16,Paid Social,Meta Retargeting & Lookalike,3652.35,273926,10226,51,25245.0
MKT-00182,2024-05-16,Google Ads,Search Intent High-Value,3114.89,140169,13082,51,24990.0
MKT-00183,2024-05-16,Affiliate,Cashback & Review Partners,1447.16,43414,4486,32,16320.0
MKT-00184,2024-05-16,Email Marketing,Lifecycle VIP Retention,906.12,108734,7702,50,26500.0
MKT-00185,2024-05-17,Paid Social,Meta Retargeting & Lookalike,3682.56,276192,10311,51,25245.0
MKT-00186,2024-05-17,Google Ads,Search Intent High-Value,3226.73,145202,13552,52,25480.0
MKT-00187,2024-05-17,Affiliate,Cashback & Review Partners,1487.34,44620,4610,33,16830.0
MKT-00188,2024-05-17,Email Marketing,Lifecycle VIP Retention,851.58,102189,7238,47,24910.0
MKT-00189,2024-05-18,Paid Social,Meta Retargeting & Lookalike,3898.05,292353,10914,54,26730.0
MKT-00190,2024-05-18,Google Ads,Search Intent High-Value,3187.25,143426,13386,52,25480.0
MKT-00191,2024-05-18,Affiliate,Cashback & Review Partners,1402.89,42086,4348,31,15810.0
MKT-00192,2024-05-18,Email Marketing,Lifecycle VIP Retention,912.54,109504,7756,50,26500.0
MKT-00193,2024-05-19,Paid Social,Meta Retargeting & Lookalike,3848.74,288655,10776,54,26730.0
MKT-00194,2024-05-19,Google Ads,Search Intent High-Value,3293.53,148208,13832,53,25970.0
MKT-00195,2024-05-19,Affiliate,Cashback & Review Partners,1488.98,44669,4615,33,16830.0
MKT-00196,2024-05-19,Email Marketing,Lifecycle VIP Retention,873.94,104872,7428,48,25440.0
MKT-00197,2024-05-20,Paid Social,Meta Retargeting & Lookalike,3840.51,288038,10753,53,26235.0
MKT-00198,2024-05-20,Google Ads,Search Intent High-Value,3119.36,140371,13101,51,24990.0
MKT-00199,2024-05-20,Affiliate,Cashback & Review Partners,1493.23,44796,4629,33,16830.0
MKT-00200,2024-05-20,Email Marketing,Lifecycle VIP Retention,880.5,105660,7484,48,25440.0
MKT-00201,2024-05-21,Paid Social,Meta Retargeting & Lookalike,3791.56,284367,10616,53,26235.0
MKT-00202,2024-05-21,Google Ads,Search Intent High-Value,3286.63,147898,13803,53,25970.0
MKT-00203,2024-05-21,Affiliate,Cashback & Review Partners,1448.03,43440,4488,32,16320.0
MKT-00204,2024-05-21,Email Marketing,Lifecycle VIP Retention,942.82,113138,8014,52,27560.0
MKT-00205,2024-05-22,Paid Social,Meta Retargeting & Lookalike,3829.72,287228,10723,53,26235.0
MKT-00206,2024-05-22,Google Ads,Search Intent High-Value,3150.64,141778,13232,51,24990.0
MKT-00207,2024-05-22,Affiliate,Cashback & Review Partners,1498.08,44942,4644,33,16830.0
MKT-00208,2024-05-22,Email Marketing,Lifecycle VIP Retention,905.85,108702,7699,50,26500.0
MKT-00209,2024-05-23,Paid Social,Meta Retargeting & Lookalike,3832.66,287449,10731,53,26235.0
MKT-00210,2024-05-23,Google Ads,Search Intent High-Value,3126.29,140683,13130,51,24990.0
MKT-00211,2024-05-23,Affiliate,Cashback & Review Partners,1434.66,43039,4447,31,15810.0
MKT-00212,2024-05-23,Email Marketing,Lifecycle VIP Retention,926.17,111140,7872,51,27030.0
MKT-00213,2024-05-24,Paid Social,Meta Retargeting & Lookalike,3803.89,285292,10650,53,26235.0
MKT-00214,2024-05-24,Google Ads,Search Intent High-Value,3197.25,143876,13428,52,25480.0
MKT-00215,2024-05-24,Affiliate,Cashback & Review Partners,1472.16,44164,4563,32,16320.0
MKT-00216,2024-05-24,Email Marketing,Lifecycle VIP Retention,926.26,111151,7873,51,27030.0
MKT-00217,2024-05-25,Paid Social,Meta Retargeting & Lookalike,3816.73,286254,10686,53,26235.0
MKT-00218,2024-05-25,Google Ads,Search Intent High-Value,3142.83,141427,13199,51,24990.0
MKT-00219,2024-05-25,Affiliate,Cashback & Review Partners,1490.42,44712,4620,33,16830.0
MKT-00220,2024-05-25,Email Marketing,Lifecycle VIP Retention,909.64,109156,7731,50,26500.0
MKT-00221,2024-05-26,Paid Social,Meta Retargeting & Lookalike,3758.18,281863,10522,52,25740.0
MKT-00222,2024-05-26,Google Ads,Search Intent High-Value,3175.63,142903,13337,52,25480.0
MKT-00223,2024-05-26,Affiliate,Cashback & Review Partners,1439.37,43181,4462,31,15810.0
MKT-00224,2024-05-26,Email Marketing,Lifecycle VIP Retention,905.13,108615,7693,50,26500.0
MKT-00225,2024-05-27,Paid Social,Meta Retargeting & Lookalike,3693.33,276999,10341,51,25245.0
MKT-00226,2024-05-27,Google Ads,Search Intent High-Value,3216.07,144723,13507,52,25480.0
MKT-00227,2024-05-27,Affiliate,Cashback & Review Partners,1414.59,42437,4385,31,15810.0
MKT-00228,2024-05-27,Email Marketing,Lifecycle VIP Retention,946.13,113535,8042,52,27560.0
MKT-00229,2024-05-28,Paid Social,Meta Retargeting & Lookalike,3632.84,272462,10171,51,25245.0
MKT-00230,2024-05-28,Google Ads,Search Intent High-Value,3143.59,141461,13203,51,24990.0
MKT-00231,2024-05-28,Affiliate,Cashback & Review Partners,1432.52,42975,4440,31,15810.0
MKT-00232,2024-05-28,Email Marketing,Lifecycle VIP Retention,919.51,110341,7815,51,27030.0
MKT-00233,2024-05-29,Paid Social,Meta Retargeting & Lookalike,3650.26,273769,10220,51,25245.0
MKT-00234,2024-05-29,Google Ads,Search Intent High-Value,3252.64,146368,13661,53,25970.0
MKT-00235,2024-05-29,Affiliate,Cashback & Review Partners,1490.43,44712,4620,33,16830.0
MKT-00236,2024-05-29,Email Marketing,Lifecycle VIP Retention,924.48,110937,7858,51,27030.0
MKT-00237,2024-05-30,Paid Social,Meta Retargeting & Lookalike,3680.85,276063,10306,51,25245.0
MKT-00238,2024-05-30,Google Ads,Search Intent High-Value,3225.79,145160,13548,52,25480.0
MKT-00239,2024-05-30,Affiliate,Cashback & Review Partners,1442.2,43265,4470,32,16320.0
MKT-00240,2024-05-30,Email Marketing,Lifecycle VIP Retention,882.98,105957,7505,49,25970.0
MKT-00241,2024-05-31,Paid Social,Meta Retargeting & Lookalike,3796.98,284773,10631,53,26235.0
MKT-00242,2024-05-31,Google Ads,Search Intent High-Value,3162.45,142310,13282,51,24990.0
MKT-00243,2024-05-31,Affiliate,Cashback & Review Partners,1428.35,42850,4427,31,15810.0
MKT-00244,2024-05-31,Email Marketing,Lifecycle VIP Retention,943.18,113181,8017,52,27560.0
MKT-00245,2024-06-01,Paid Social,Meta Retargeting & Lookalike,3622.61,271696,10143,50,24750.0
MKT-00246,2024-06-01,Google Ads,Search Intent High-Value,3164.21,142389,13289,51,24990.0
MKT-00247,2024-06-01,Affiliate,Cashback & Review Partners,1467.48,44024,4549,32,16320.0
MKT-00248,2024-06-01,Email Marketing,Lifecycle VIP Retention,918.09,110171,7803,51,27030.0
MKT-00249,2024-06-02,Paid Social,Meta Retargeting & Lookalike,3617.93,271344,10130,50,24750.0
MKT-00250,2024-06-02,Google Ads,Search Intent High-Value,3250.2,146259,13650,53,25970.0
MKT-00251,2024-06-02,Affiliate,Cashback & Review Partners,1412.99,42389,4380,31,15810.0
MKT-00252,2024-06-02,Email Marketing,Lifecycle VIP Retention,891.38,106965,7576,49,25970.0
MKT-00253,2024-06-03,Paid Social,Meta Retargeting & Lookalike,3602.75,270206,10087,50,24750.0
MKT-00254,2024-06-03,Google Ads,Search Intent High-Value,3268.6,147087,13728,53,25970.0
MKT-00255,2024-06-03,Affiliate,Cashback & Review Partners,1493.31,44799,4629,33,16830.0
MKT-00256,2024-06-03,Email Marketing,Lifecycle VIP Retention,913.41,109609,7764,50,26500.0
MKT-00257,2024-06-04,Paid Social,Meta Retargeting & Lookalike,3860.65,289549,10809,54,26730.0
MKT-00258,2024-06-04,Google Ads,Search Intent High-Value,3285.13,147830,13797,53,25970.0
MKT-00259,2024-06-04,Affiliate,Cashback & Review Partners,1483.07,44492,4597,32,16320.0
MKT-00260,2024-06-04,Email Marketing,Lifecycle VIP Retention,901.69,108202,7664,50,26500.0
MKT-00261,2024-06-05,Paid Social,Meta Retargeting & Lookalike,3627.37,272052,10156,50,24750.0
MKT-00262,2024-06-05,Google Ads,Search Intent High-Value,3102.43,139609,13030,50,24500.0
MKT-00263,2024-06-05,Affiliate,Cashback & Review Partners,1443.47,43304,4474,32,16320.0
MKT-00264,2024-06-05,Email Marketing,Lifecycle VIP Retention,863.0,103560,7335,47,24910.0
MKT-00265,2024-06-06,Paid Social,Meta Retargeting & Lookalike,3705.81,277935,10376,52,25740.0
MKT-00266,2024-06-06,Google Ads,Search Intent High-Value,3168.25,142571,13306,51,24990.0
MKT-00267,2024-06-06,Affiliate,Cashback & Review Partners,1404.12,42123,4352,31,15810.0
MKT-00268,2024-06-06,Email Marketing,Lifecycle VIP Retention,851.8,102216,7240,47,24910.0
MKT-00269,2024-06-07,Paid Social,Meta Retargeting & Lookalike,3686.11,276458,10321,51,25245.0
MKT-00270,2024-06-07,Google Ads,Search Intent High-Value,3272.36,147256,13743,53,25970.0
MKT-00271,2024-06-07,Affiliate,Cashback & Review Partners,1458.99,43769,4522,32,16320.0
MKT-00272,2024-06-07,Email Marketing,Lifecycle VIP Retention,870.17,104420,7396,48,25440.0
MKT-00273,2024-06-08,Paid Social,Meta Retargeting & Lookalike,3717.88,278840,10410,52,25740.0
MKT-00274,2024-06-08,Google Ads,Search Intent High-Value,3184.23,143290,13373,52,25480.0
MKT-00275,2024-06-08,Affiliate,Cashback & Review Partners,1433.55,43006,4444,31,15810.0
MKT-00276,2024-06-08,Email Marketing,Lifecycle VIP Retention,910.01,109201,7735,50,26500.0
