order_id,customer_id,order_date,order_status,payment_method,shipping_partner,gross_amount,discount_amount,net_amount,delivery_fee,delivery_cost
ORD-000054,CUST-008756,2024-08-05,Delivered,UPI,ExpressCargo,219.0,16.81,202.19,0.0,73.6
ORD-000055,CUST-013143,2024-08-20,Delivered,UPI,FastLogistics,1078.32,94.94,983.38,0.0,83.18
ORD-000056,CUST-011536,2024-07-06,Delivered,UPI,ExpressCargo,113.0,4.54,108.46,0.0,75.07
ORD-000057,CUST-009768,2024-07-07,Delivered,Credit Card,BlueDart,56.0,3.05,52.95,5.0,89.51
ORD-000058,CUST-013815,2024-07-18,Delivered,Net Banking,BlueDart,32.0,2.79,29.21,5.0,92.24
ORD-000059,CUST-008460,2024-07-15,Delivered,COD,FastLogistics,310.0,13.19,296.81,0.0,86.5
ORD-000060,CUST-013464,2024-07-12,Delivered,Credit Card,BlueDart,266.0,17.24,248.76,0.0,90.21
ORD-000061,CUST-014341,2024-08-23,Delivered,Net Banking,BlueDart,459.66,25.4,434.26,0.0,89.34
ORD-000062,CUST-006056,2024-04-19,Delivered,UPI,FastLogistics,209.5,2.44,207.06,0.0,73.91
ORD-000063,CUST-008258,2024-04-06,Delivered,COD,FastLogistics,398.0,4.14,393.86,0.0,70.9
ORD-000064,CUST-001955,2024-04-07,Delivered,Net Banking,BlueDart,85.0,2.95,82.05,0.0,90.88
ORD-000065,CUST-010642,2024-06-03,Delivered,Credit Card,FastLogistics,95.0,1.18,93.82,0.0,69.71
ORD-000066,CUST-007967,2024-06-04,Delivered,UPI,FastLogistics,76.0,2.58,73.42,5.0,72.2
ORD-000067,CUST-010494,2024-06-20,Delivered,COD,BlueDart,195.0,4.11,190.89,0.0,89.22
ORD-000068,CUST-006227,2024-08-24,Delivered,UPI,FastLogistics,280.0,21.06,258.94,0.0,84.09
ORD-000069,CUST-004464,2024-05-08,Delivered,Credit Card,FastLogistics,45.0,1.56,43.44,5.0,73.79
ORD-000070,CUST-007468,2024-08-30,Delivered,UPI,FastLogistics,70.3,4.91,65.39,5.0,85.9
ORD-000071,CUST-006919,2024-05-08,Returned,COD,ExpressCargo,95.0,1.1,93.9,0.0,67.93
ORD-000072,CUST-007194,2024-04-19,Delivered,UPI,BlueDart,294.0,10.16,283.84,0.0,88.64
ORD-000073,CUST-009076,2024-08-06,Delivered,Credit Card,BlueDart,344.0,17.77,326.23,0.0,92.72
ORD-000074,CUST-005215,2024-06-07,Delivered,UPI,FastLogistics,146.0,4.51,141.49,0.0,71.96
ORD-000075,CUST-008441,2024-05-26,Delivered,Credit Card,FastLogistics,38.0,0.56,37.44,5.0,73.99
ORD-000076,CUST-003760,2024-08-19,Delivered,COD,BlueDart,16.0,1.13,14.87,5.0,92.05
ORD-000077,CUST-008960,2024-06-17,Delivered,Credit Card,ExpressCargo,158.0,5.46,152.54,0.0,70.43
ORD-000078,CUST-013140,2024-05-20,Delivered,UPI,ExpressCargo,64.0,1.41,62.59,5.0,67.34
ORD-000079,CUST-014223,2024-08-10,Delivered,UPI,BlueDart,95.0,7.6,87.4,0.0,92.7
ORD-000080,CUST-014580,2024-08-06,Returned,COD,FastLogistics,19.5,1.13,18.37,5.0,82.37
ORD-000081,CUST-001727,2024-07-19,Delivered,Credit Card,BlueDart,38.0,1.67,36.33,5.0,90.93
ORD-000082,CUST-000138,2024-05-18,Delivered,UPI,FastLogistics,38.0,1.07,36.93,5.0,70.61
ORD-000083,CUST-013969,2024-05-17,Delivered,UPI,ExpressCargo,219.0,4.53,214.47,0.0,67.09
ORD-000084,CUST-008390,2024-05-04,Delivered,Credit Card,BlueDart,158.0,5.21,152.79,0.0,88.61
ORD-000085,CUST-001552,2024-04-10,Delivered,Credit Card,ExpressCargo,56.0,1.23,54.77,5.0,69.91
ORD-000086,CUST-005342,2024-05-09,Delivered,Credit Card,BlueDart,39.0,0.5,38.5,5.0,89.81
ORD-000087,CUST-004770,2024-04-08,Delivered,Credit Card,FastLogistics,215.0,3.25,211.75,0.0,69.94
ORD-000088,CUST-007148,2024-08-02,Returned,Net Banking,ExpressCargo,317.06,18.15,298.91,0.0,75.18
ORD-000089,CUST-001691,2024-09-25,Delivered,COD,ExpressCargo,178.6,7.91,170.69,0.0,75.35
ORD-000090,CUST-008015,2024-05-09,Delivered,Credit Card,FastLogistics,270.0,7.07,262.93,0.0,71.22
ORD-000091,CUST-006938,2024-04-15,Delivered,Credit Card,FastLogistics,162.0,5.53,156.47,0.0,75.19
ORD-000092,CUST-011576,2024-05-04,Delivered,Credit Card,FastLogistics,58.0,0.8,57.2,5.0,73.59
ORD-000093,CUST-007488,2024-08-04,Delivered,Net Banking,BlueDart,16.0,0.78,15.22,5.0,89.28
ORD-000094,CUST-011321,2024-06-27,Delivered,Credit Card,FastLogistics,137.0,3.61,133.39,0.0,70.49
ORD-000095,CUST-008367,2024-08-23,Delivered,UPI,ExpressCargo,140.0,5.84,134.16,0.0,75.52
ORD-000096,CUST-000344,2024-06-05,Delivered,Credit Card,ExpressCargo,228.0,4.99,223.01,0.0,67.42
ORD-000097,CUST-009004,2024-08-09,Delivered,Credit Card,ExpressCargo,93.0,4.04,88.96,0.0,77.11
ORD-000098,CUST-011518,2024-07-20,Delivered,Credit Card,FastLogistics,195.0,13.68,181.32,0.0,85.78
ORD-000099,CUST-005664,2024-04-04,Delivered,Credit Card,FastLogistics,217.0,2.78,214.22,0.0,71.75
ORD-000100,CUST-009367,2024-04-16,Returned,Credit Card,FastLogistics,65.0,2.56,62.44,5.0,72.54
ORD-000101,CUST-005042,2024-05-18,Delivered,Credit Card,FastLogistics,127.0,3.5,123.5,0.0,73.8
ORD-000102,CUST-014785,2024-06-02,Delivered,Credit Card,ExpressCargo,140.0,4.39,135.61,0.0,68.78
ORD-000103,CUST-012492,2024-09-12,Delivered,Credit Card,BlueDart,65.0,5.4,59.6,5.0,91.82
ORD-000104,CUST-012550,2024-06-27,Returned,UPI,BlueDart,195.0,2.21,192.79,0.0,87.75
ORD-000105,CUST-014380,2024-06-25,Delivered,Credit Card,BlueDart,84.0,1.76,82.24,0.0,90.68
ORD-000106,CUST-001196,2024-07-06,Delivered,COD,FastLogistics,248.0,15.72,232.28,0.0,87.73
ORD-000107,CUST-008009,2024-09-03,Delivered,Net Banking,FastLogistics,187.06,13.69,173.37,0.0,83.53
ORD-000108,CUST-001482,2024-09-25,Delivered,UPI,FastLogistics,38.0,3.0,35.0,5.0,82.6
ORD-000109,CUST-005395,2024-05-14,Delivered,COD,BlueDart,390.0,5.63,384.37,0.0,87.75
ORD-000110,CUST-013737,2024-09-14,Returned,COD,BlueDart,187.06,9.87,177.19,0.0,90.67
ORD-000111,CUST-002923,2024-05-19,Delivered,Credit Card,ExpressCargo,58.0,1.36,56.64,5.0,71.06
ORD-000112,CUST-008104,2024-09-20,Delivered,Credit Card,FastLogistics,190.0,10.48,179.52,0.0,82.53
ORD-000113,CUST-005822,2024-06-09,Delivered,UPI,FastLogistics,29.0,1.1,27.9,5.0,71.13
ORD-000114,CUST-013821,2024-09-02,Delivered,UPI,FastLogistics,459.66,22.44,437.22,0.0,82.21
ORD-000115,CUST-011191,2024-05-13,Returned,UPI,FastLogistics,129.0,4.02,124.98,0.0,74.58
ORD-000116,CUST-014906,2024-07-08,Delivered,Credit Card,BlueDart,338.0,19.21,318.79,0.0,91.72
ORD-000117,CUST-012241,2024-05-12,Delivered,Net Banking,BlueDart,488.0,10.22,477.78,0.0,87.98
ORD-000118,CUST-012469,2024-09-21,Delivered,Credit Card,ExpressCargo,194.26,16.86,177.4,0.0,77.14
ORD-000119,CUST-012577,2024-06-25,Delivered,Net Banking,ExpressCargo,308.0,10.15,297.85,0.0,65.76
ORD-000120,CUST-013694,2024-06-10,Delivered,Credit Card,ExpressCargo,90.0,1.77,88.23,0.0,67.42
ORD-000121,CUST-005472,2024-09-17,Delivered,Credit Card,FastLogistics,98.0,4.06,93.94,0.0,84.27
ORD-000122,CUST-001303,2024-06-20,Delivered,Credit Card,BlueDart,65.0,1.45,63.55,5.0,86.43
ORD-000123,CUST-008549,2024-09-28,Delivered,UPI,BlueDart,344.0,26.97,317.03,0.0,92.47
ORD-000124,CUST-004887,2024-09-24,Delivered,Credit Card,FastLogistics,16.0,1.15,14.85,5.0,83.7
ORD-000125,CUST-014379,2024-07-30,Delivered,UPI,BlueDart,84.6,4.78,79.82,5.0,90.25
ORD-000126,CUST-010914,2024-06-27,Delivered,UPI,FastLogistics,122.0,2.43,119.57,0.0,70.24
ORD-000127,CUST-006227,2024-04-20,Delivered,UPI,ExpressCargo,270.0,8.34,261.66,0.0,67.21
ORD-000128,CUST-009245,2024-09-02,Delivered,UPI,FastLogistics,28.0,2.18,25.82,5.0,84.01
ORD-000129,CUST-006977,2024-09-19,Delivered,UPI,BlueDart,89.3,6.54,82.76,0.0,93.02
ORD-000130,CUST-002361,2024-08-10,Delivered,Net Banking,FastLogistics,107.0,7.5,99.5,0.0,85.22
ORD-000131,CUST-014806,2024-06-08,Delivered,Credit Card,ExpressCargo,49.0,0.96,48.04,5.0,70.97
ORD-000132,CUST-001269,2024-06-26,Delivered,UPI,FastLogistics,108.0,3.07,104.93,0.0,70.51
ORD-000133,CUST-013770,2024-09-24,Delivered,Credit Card,BlueDart,170.0,7.09,162.91,0.0,89.71
ORD-000134,CUST-014050,2024-07-16,Delivered,Credit Card,FastLogistics,76.0,5.32,70.68,5.0,86.95
ORD-000135,CUST-008299,2024-08-25,Returned,Credit Card,FastLogistics,350.0,22.9,327.1,0.0,85.55
ORD-000136,CUST-013996,2024-09-16,Delivered,Credit Card,BlueDart,64.0,5.44,58.56,5.0,91.05
ORD-000137,CUST-002673,2024-09-06,Delivered,Credit Card,BlueDart,140.0,9.3,130.7,0.0,91.87
ORD-000138,CUST-008205,2024-06-11,Delivered,Credit Card,BlueDart,144.0,5.41,138.59,0.0,86.51
ORD-000139,CUST-014730,2024-08-18,Delivered,Credit Card,FastLogistics,204.0,9.56,194.44,0.0,84.44
ORD-000140,CUST-002317,2024-04-07,Delivered,Credit Card,ExpressCargo,209.0,2.67,206.33,0.0,66.75
ORD-000141,CUST-004295,2024-07-25,Delivered,Credit Card,FastLogistics,124.0,10.82,113.18,0.0,86.58
ORD-000142,CUST-001092,2024-04-06,Delivered,UPI,FastLogistics,398.0,6.06,391.94,0.0,73.6
ORD-000143,CUST-005022,2024-06-10,Returned,Net Banking,BlueDart,29.0,0.92,28.08,5.0,89.45
ORD-000144,CUST-007070,2024-09-17,Delivered,Credit Card,FastLogistics,224.0,10.67,213.33,0.0,84.84
ORD-000145,CUST-005928,2024-05-07,Delivered,Credit Card,ExpressCargo,182.0,5.58,176.42,0.0,70.68
ORD-000146,CUST-010188,2024-04-12,Delivered,Credit Card,FastLogistics,978.0,27.85,950.15,0.0,73.51
ORD-000147,CUST-002289,2024-08-04,Delivered,Credit Card,ExpressCargo,170.0,7.89,162.11,0.0,76.1
ORD-000148,CUST-002083,2024-08-23,Delivered,Credit Card,ExpressCargo,194.6,16.82,177.78,0.0,75.64
ORD-000149,CUST-014807,2024-09-24,Returned,Net Banking,FastLogistics,374.12,15.89,358.23,0.0,81.86
ORD-000150,CUST-005607,2024-05-08,Delivered,COD,BlueDart,98.0,3.15,94.85,0.0,85.23
ORD-000151,CUST-012631,2024-04-29,Delivered,UPI,ExpressCargo,209.5,7.62,201.88,0.0,68.42
ORD-000152,CUST-009244,2024-06-12,Delivered,UPI,FastLogistics,477.0,11.27,465.73,0.0,72.43
ORD-000153,CUST-010368,2024-08-27,Delivered,Credit Card,FastLogistics,1097.92,84.06,1013.86,0.0,84.21
ORD-000154,CUST-003552,2024-09-08,Delivered,UPI,FastLogistics,140.0,10.75,129.25,0.0,84.36
ORD-000155,CUST-006262,2024-07-27,Delivered,Credit Card,ExpressCargo,148.52,9.8,138.72,0.0,76.62
ORD-000156,CUST-007050,2024-07-10,Delivered,UPI,BlueDart,84.0,4.8,79.2,5.0,92.91
ORD-000157,CUST-005408,2024-06-15,Delivered,UPI,FastLogistics,38.0,0.68,37.32,5.0,69.58
ORD-000158,CUST-001970,2024-05-22,Delivered,Net Banking,BlueDart,92.0,3.04,88.96,0.0,86.07
ORD-000159,CUST-014185,2024-04-09,Delivered,Credit Card,FastLogistics,125.0,2.5,122.5,0.0,72.1
ORD-000160,CUST-014841,2024-04-24,Delivered,UPI,BlueDart,190.0,7.57,182.43,0.0,86.04
ORD-000161,CUST-011778,2024-04-08,Delivered,Net Banking,ExpressCargo,32.0,0.57,31.43,5.0,68.76
ORD-000162,CUST-007148,2024-09-21,Delivered,Net Banking,FastLogistics,32.0,2.03,29.97,5.0,86.22
ORD-000163,CUST-002169,2024-07-02,Delivered,Credit Card,BlueDart,313.06,22.05,291.01,0.0,90.47
ORD-000164,CUST-000421,2024-05-09,Delivered,Credit Card,FastLogistics,130.0,3.18,126.82,0.0,73.85
ORD-000165,CUST-013304,2024-08-24,Delivered,UPI,FastLogistics,148.52,6.59,141.93,0.0,85.57
ORD-000166,CUST-000185,2024-04-05,Delivered,Net Banking,FastLogistics,85.0,3.33,81.67,0.0,70.07
ORD-000167,CUST-006189,2024-04-14,Delivered,Credit Card,FastLogistics,62.0,1.86,60.14,5.0,73.7
ORD-000168,CUST-003048,2024-08-23,Delivered,Credit Card,BlueDart,117.5,9.38,108.12,0.0,91.67
ORD-000169,CUST-010969,2024-07-27,Delivered,Credit Card,FastLogistics,58.0,4.67,53.33,5.0,85.84
ORD-000170,CUST-011274,2024-07-20,Delivered,Net Banking,FastLogistics,85.0,6.1,78.9,5.0,84.85
ORD-000171,CUST-012796,2024-08-30,Delivered,COD,BlueDart,29.0,2.1,26.9,5.0,93.1
ORD-000172,CUST-002340,2024-08-02,Delivered,Credit Card,ExpressCargo,444.12,22.07,422.05,0.0,74.01
ORD-000173,CUST-003246,2024-07-20,Delivered,COD,BlueDart,190.0,11.22,178.78,0.0,89.62
ORD-000174,CUST-011196,2024-08-31,Delivered,UPI,FastLogistics,39.0,3.41,35.59,5.0,87.36
ORD-000175,CUST-004289,2024-05-31,Delivered,UPI,FastLogistics,130.0,2.17,127.83,0.0,73.64
ORD-000176,CUST-003440,2024-09-26,Returned,Credit Card,ExpressCargo,710.0,30.31,679.69,0.0,75.61
ORD-000177,CUST-002064,2024-09-20,Delivered,Net Banking,ExpressCargo,140.0,10.73,129.27,0.0,76.53
ORD-000178,CUST-014011,2024-04-08,Returned,UPI,FastLogistics,128.0,4.9,123.1,0.0,70.34
ORD-000179,CUST-002830,2024-08-03,Delivered,UPI,FastLogistics,222.0,17.42,204.58,0.0,86.75
ORD-000180,CUST-008331,2024-07-26,Delivered,Credit Card,BlueDart,95.0,4.03,90.97,0.0,92.24
ORD-000181,CUST-006113,2024-05-24,Delivered,UPI,BlueDart,528.0,8.93,519.07,0.0,88.08
ORD-000182,CUST-001848,2024-08-04,Delivered,Credit Card,ExpressCargo,84.0,4.26,79.74,5.0,74.16
ORD-000183,CUST-005516,2024-06-27,Delivered,Credit Card,ExpressCargo,28.0,1.1,26.9,5.0,66.22
ORD-000184,CUST-010851,2024-09-29,Delivered,UPI,ExpressCargo,84.6,3.78,80.82,0.0,77.17
ORD-000185,CUST-007904,2024-08-24,Delivered,UPI,BlueDart,251.06,10.66,240.4,0.0,89.82
ORD-000186,CUST-000796,2024-06-25,Delivered,Credit Card,FastLogistics,66.0,2.31,63.69,5.0,69.7
ORD-000187,CUST-003794,2024-04-09,Delivered,UPI,FastLogistics,90.0,1.51,88.49,0.0,72.78
ORD-000188,CUST-002763,2024-04-19,Delivered,UPI,FastLogistics,521.0,17.58,503.42,0.0,74.34
ORD-000189,CUST-012980,2024-06-14,Delivered,Credit Card,BlueDart,505.0,14.73,490.27,0.0,88.63
ORD-000190,CUST-007253,2024-06-01,Delivered,UPI,ExpressCargo,177.5,5.37,172.13,0.0,70.08
ORD-000191,CUST-008092,2024-04-02,Delivered,UPI,BlueDart,231.0,8.63,222.37,0.0,90.35
ORD-000192,CUST-000985,2024-05-11,Delivered,Credit Card,FastLogistics,199.0,6.72,192.28,0.0,74.63
ORD-000193,CUST-012597,2024-06-22,Delivered,UPI,FastLogistics,149.0,2.47,146.53,0.0,71.18
ORD-000194,CUST-012924,2024-04-08,Delivered,Credit Card,FastLogistics,255.0,2.99,252.01,0.0,70.03
ORD-000195,CUST-004809,2024-09-21,Delivered,UPI,ExpressCargo,49.0,2.87,46.13,5.0,73.99
ORD-000196,CUST-008724,2024-07-05,Delivered,Credit Card,FastLogistics,198.0,9.69,188.31,0.0,82.36
ORD-000197,CUST-005475,2024-08-11,Delivered,Net Banking,BlueDart,374.12,20.47,353.65,0.0,90.76
ORD-000198,CUST-004167,2024-06-26,Returned,Credit Card,ExpressCargo,371.0,14.52,356.48,0.0,70.98
ORD-000199,CUST-007695,2024-05-16,Delivered,Credit Card,BlueDart,38.0,0.53,37.47,5.0,85.85
ORD-000200,CUST-007360,2024-04-06,Delivered,Credit Card,FastLogistics,160.5,6.23,154.27,0.0,72.59
ORD-000201,CUST-005187,2024-07-28,Delivered,Credit Card,FastLogistics,362.0,28.57,333.43,0.0,81.98
ORD-000202,CUST-004511,2024-04-27,Delivered,UPI,FastLogistics,130.0,4.29,125.71,0.0,73.35
ORD-000203,CUST-002048,2024-08-25,Delivered,Credit Card,ExpressCargo,74.3,3.99,70.31,5.0,73.83
ORD-000204,CUST-002771,2024-06-04,Delivered,COD,BlueDart,98.0,1.22,96.78,0.0,85.25
ORD-000205,CUST-009922,2024-07-29,Delivered,COD,ExpressCargo,19.5,1.18,18.32,5.0,75.21
ORD-000206,CUST-002586,2024-05-22,Delivered,Net Banking,FastLogistics,130.0,1.98,128.02,0.0,74.35
ORD-000207,CUST-005089,2024-09-24,Delivered,UPI,FastLogistics,85.0,7.31,77.69,5.0,83.78
ORD-000208,CUST-010042,2024-05-09,Delivered,UPI,FastLogistics,149.0,4.9,144.1,0.0,70.14
ORD-000209,CUST-014379,2024-07-27,Delivered,Net Banking,FastLogistics,42.0,3.18,38.82,5.0,83.29
ORD-000210,CUST-014029,2024-08-29,Delivered,Credit Card,FastLogistics,130.0,5.59,124.41,0.0,86.03
ORD-000211,CUST-012733,2024-09-08,Delivered,Credit Card,BlueDart,335.58,28.24,307.34,0.0,90.27
ORD-000212,CUST-003157,2024-04-16,Delivered,Credit Card,ExpressCargo,158.0,6.19,151.81,0.0,66.24
ORD-000213,CUST-007512,2024-07-14,Delivered,UPI,FastLogistics,265.0,12.53,252.47,0.0,82.4
ORD-000214,CUST-007448,2024-07-17,Delivered,UPI,FastLogistics,29.0,2.42,26.58,5.0,83.56
ORD-000215,CUST-013869,2024-09-26,Delivered,COD,FastLogistics,670.0,35.18,634.82,0.0,86.73
ORD-000216,CUST-005415,2024-04-28,Delivered,Credit Card,ExpressCargo,398.0,5.23,392.77,0.0,69.24
ORD-000217,CUST-012378,2024-06-06,Delivered,UPI,FastLogistics,42.0,0.59,41.41,5.0,75.02
ORD-000218,CUST-006926,2024-08-07,Delivered,UPI,BlueDart,459.66,25.87,433.79,0.0,93.14
ORD-000219,CUST-001955,2024-05-09,Delivered,Credit Card,FastLogistics,90.0,2.03,87.97,0.0,73.26
ORD-000220,CUST-010403,2024-08-22,Delivered,UPI,ExpressCargo,42.3,3.36,38.94,5.0,74.87
ORD-000221,CUST-005846,2024-08-05,Delivered,Credit Card,ExpressCargo,181.26,9.47,171.79,0.0,75.8
ORD-000222,CUST-009763,2024-04-26,Delivered,UPI,FastLogistics,978.0,11.94,966.06,0.0,69.48
ORD-000223,CUST-001219,2024-08-04,Delivered,Credit Card,FastLogistics,170.0,9.03,160.97,0.0,83.48
ORD-000224,CUST-002069,2024-07-08,Delivered,Credit Card,BlueDart,459.66,37.14,422.52,0.0,90.89
ORD-000225,CUST-011511,2024-06-12,Delivered,Net Banking,FastLogistics,163.0,3.22,159.78,0.0,72.41
ORD-000226,CUST-005383,2024-04-18,Delivered,Credit Card,BlueDart,190.0,5.39,184.61,0.0,90.28
ORD-000227,CUST-006918,2024-06-11,Delivered,UPI,FastLogistics,179.0,7.11,171.89,0.0,72.98
ORD-000228,CUST-014292,2024-04-02,Delivered,Credit Card,FastLogistics,280.0,8.84,271.16,0.0,71.78
ORD-000229,CUST-012034,2024-07-15,Delivered,Net Banking,FastLogistics,195.0,10.73,184.27,0.0,87.36
ORD-000230,CUST-002637,2024-06-24,Delivered,Credit Card,FastLogistics,65.0,2.06,62.94,5.0,71.01
ORD-000231,CUST-012101,2024-07-25,Returned,UPI,BlueDart,124.0,6.38,117.62,0.0,89.22
ORD-000232,CUST-010730,2024-09-28,Delivered,Credit Card,FastLogistics,365.0,30.1,334.9,0.0,82.75
ORD-000233,CUST-012993,2024-06-20,Delivered,Credit Card,ExpressCargo,151.0,3.88,147.12,0.0,67.51
ORD-000234,CUST-003193,2024-08-11,Delivered,Credit Card,FastLogistics,187.06,11.93,175.13,0.0,86.88
ORD-000235,CUST-003614,2024-08-28,Delivered,UPI,FastLogistics,968.32,74.06,894.26,0.0,84.81
ORD-000236,CUST-013361,2024-08-18,Delivered,UPI,ExpressCargo,390.0,20.79,369.21,0.0,77.04
ORD-000237,CUST-012840,2024-09-29,Delivered,UPI,BlueDart,49.0,2.78,46.22,5.0,91.13
ORD-000238,CUST-013669,2024-09-02,Delivered,COD,BlueDart,58.0,4.38,53.62,5.0,89.64
ORD-000239,CUST-003570,2024-07-06,Delivered,Credit Card,BlueDart,259.3,14.18,245.12,0.0,92.28
