order_item_id,order_id,product_id,quantity,unit_price,unit_cogs,item_total
ITEM-0000028,ORD-000015,PRD-112,2,49.0,22.0,98.0
ITEM-0000029,ORD-000016,PRD-108,2,140.0,65.0,280.0
ITEM-0000030,ORD-000016,PRD-111,2,38.0,18.0,76.0
ITEM-0000031,ORD-000016,PRD-118,1,19.5,9.5,19.5
ITEM-0000032,ORD-000017,PRD-110,1,95.0,42.0,95.0
ITEM-0000033,ORD-000017,PRD-113,1,195.0,110.0,195.0
ITEM-0000034,ORD-000018,PRD-106,1,85.0,38.0,85.0
ITEM-0000035,ORD-000019,PRD-115,1,28.0,11.0,28.0
ITEM-0000036,ORD-000019,PRD-110,2,95.0,42.0,190.0
ITEM-0000037,ORD-000020,PRD-109,2,32.0,12.0,64.0
ITEM-0000038,ORD-000021,PRD-117,1,42.0,16.0,42.0
ITEM-0000039,ORD-000021,PRD-105,2,45.0,22.0,90.0
ITEM-0000040,ORD-000021,PRD-104,2,95.0,55.0,190.0
ITEM-0000041,ORD-000022,PRD-113,1,195.0,110.0,195.0
ITEM-0000042,ORD-000023,PRD-105,1,42.3,22.0,42.3
ITEM-0000043,ORD-000024,PRD-116,2,62.0,26.0,124.0
ITEM-0000044,ORD-000025,PRD-106,2,85.0,38.0,170.0
ITEM-0000045,ORD-000025,PRD-119,2,16.0,8.0,32.0
ITEM-0000046,ORD-000026,PRD-115,2,28.0,11.0,56.0
ITEM-0000047,ORD-000026,PRD-113,2,195.0,110.0,390.0
ITEM-0000048,ORD-000027,PRD-106,2,85.0,38.0,170.0
ITEM-0000049,ORD-000027,PRD-108,2,140.0,65.0,280.0
ITEM-0000050,ORD-000028,PRD-106,2,85.0,38.0,170.0
ITEM-0000051,ORD-000028,PRD-107,1,65.0,24.0,65.0
ITEM-0000052,ORD-000029,PRD-106,2,85.0,38.0,170.0
ITEM-0000053,ORD-000030,PRD-116,1,62.0,26.0,62.0
ITEM-0000054,ORD-000030,PRD-111,1,38.0,18.0,38.0
ITEM-0000055,ORD-000030,PRD-104,1,95.0,55.0,95.0
ITEM-0000056,ORD-000031,PRD-118,1,19.5,9.5,19.5
ITEM-0000057,ORD-000032,PRD-111,2,38.0,18.0,76.0
ITEM-0000058,ORD-000032,PRD-114,1,29.0,14.0,29.0
ITEM-0000059,ORD-000033,PRD-115,1,28.0,11.0,28.0
ITEM-0000060,ORD-000034,PRD-113,1,195.0,110.0,195.0
ITEM-0000061,ORD-000035,PRD-116,2,62.0,26.0,124.0
ITEM-0000062,ORD-000036,PRD-110,1,95.0,42.0,95.0
ITEM-0000063,ORD-000036,PRD-116,1,62.0,26.0,62.0
ITEM-0000064,ORD-000037,PRD-108,1,140.0,65.0,140.0
ITEM-0000065,ORD-000038,PRD-111,2,38.0,18.0,76.0
ITEM-0000066,ORD-000038,PRD-109,2,32.0,12.0,64.0
ITEM-0000067,ORD-000039,PRD-108,2,140.0,65.0,280.0
ITEM-0000068,ORD-000039,PRD-119,1,16.0,8.0,16.0
ITEM-0000069,ORD-000040,PRD-114,2,29.0,14.0,58.0
ITEM-0000070,ORD-000041,PRD-110,2,95.0,42.0,190.0
ITEM-0000071,ORD-000042,PRD-104,2,89.3,55.0,178.6
ITEM-0000072,ORD-000042,PRD-108,2,140.0,65.0,280.0
ITEM-0000073,ORD-000042,PRD-117,1,42.0,16.0,42.0
ITEM-0000074,ORD-000043,PRD-104,2,95.0,55.0,190.0
ITEM-0000075,ORD-000044,PRD-105,1,42.3,22.0,42.3
ITEM-0000076,ORD-000045,PRD-101,2,199.0,120.0,398.0
ITEM-0000077,ORD-000046,PRD-111,1,38.0,18.0,38.0
ITEM-0000078,ORD-000046,PRD-113,2,195.0,110.0,390.0
ITEM-0000079,ORD-000047,PRD-115,1,28.0,11.0,28.0
ITEM-0000080,ORD-000048,PRD-119,1,16.0,8.0,16.0
ITEM-0000081,ORD-000049,PRD-102,2,489.0,310.0,978.0
ITEM-0000082,ORD-000050,PRD-104,2,95.0,55.0,190.0
ITEM-0000083,ORD-000051,PRD-104,1,89.3,55.0,89.3
ITEM-0000084,ORD-000052,PRD-111,1,38.0,18.0,38.0
ITEM-0000085,ORD-000053,PRD-117,2,42.0,16.0,84.0
ITEM-0000086,ORD-000054,PRD-116,2,62.0,26.0,124.0
ITEM-0000087,ORD-000054,PRD-110,1,95.0,42.0,95.0
ITEM-0000088,ORD-000055,PRD-107,2,65.0,24.0,130.0
ITEM-0000089,ORD-000055,PRD-102,2,459.66,310.0,919.32
ITEM-0000090,ORD-000055,PRD-114,1,29.0,14.0,29.0
ITEM-0000091,ORD-000056,PRD-109,2,32.0,12.0,64.0
ITEM-0000092,ORD-000056,PRD-112,1,49.0,22.0,49.0
ITEM-0000093,ORD-000057,PRD-115,2,28.0,11.0,56.0
ITEM-0000094,ORD-000058,PRD-119,2,16.0,8.0,32.0
ITEM-0000095,ORD-000059,PRD-106,2,85.0,38.0,170.0
ITEM-0000096,ORD-000059,PRD-108,1,140.0,65.0,140.0
ITEM-0000097,ORD-000060,PRD-110,2,95.0,42.0,190.0
ITEM-0000098,ORD-000060,PRD-111,2,38.0,18.0,76.0
ITEM-0000099,ORD-000061,PRD-102,1,459.66,310.0,459.66
ITEM-0000100,ORD-000062,PRD-109,1,32.0,12.0,32.0
ITEM-0000101,ORD-000062,PRD-118,1,19.5,9.5,19.5
ITEM-0000102,ORD-000062,PRD-103,2,79.0,45.0,158.0
ITEM-0000103,ORD-000063,PRD-101,2,199.0,120.0,398.0
ITEM-0000104,ORD-000064,PRD-106,1,85.0,38.0,85.0
ITEM-0000105,ORD-000065,PRD-104,1,95.0,55.0,95.0
ITEM-0000106,ORD-000066,PRD-111,2,38.0,18.0,76.0
ITEM-0000107,ORD-000067,PRD-113,1,195.0,110.0,195.0
ITEM-0000108,ORD-000068,PRD-108,2,140.0,65.0,280.0
ITEM-0000109,ORD-000069,PRD-105,1,45.0,22.0,45.0
ITEM-0000110,ORD-000070,PRD-105,1,42.3,22.0,42.3
ITEM-0000111,ORD-000070,PRD-115,1,28.0,11.0,28.0
ITEM-0000112,ORD-000071,PRD-104,1,95.0,55.0,95.0
ITEM-0000113,ORD-000072,PRD-110,1,95.0,42.0,95.0
ITEM-0000114,ORD-000072,PRD-101,1,199.0,120.0,199.0
ITEM-0000115,ORD-000073,PRD-108,2,140.0,65.0,280.0
ITEM-0000116,ORD-000073,PRD-109,2,32.0,12.0,64.0
ITEM-0000117,ORD-000074,PRD-115,2,28.0,11.0,56.0
ITEM-0000118,ORD-000074,PRD-105,2,45.0,22.0,90.0
ITEM-0000119,ORD-000075,PRD-111,1,38.0,18.0,38.0
ITEM-0000120,ORD-000076,PRD-119,1,16.0,8.0,16.0
ITEM-0000121,ORD-000077,PRD-103,2,79.0,45.0,158.0
ITEM-0000122,ORD-000078,PRD-109,2,32.0,12.0,64.0
ITEM-0000123,ORD-000079,PRD-110,1,95.0,42.0,95.0
ITEM-0000124,ORD-000080,PRD-118,1,19.5,9.5,19.5
ITEM-0000125,ORD-000081,PRD-111,1,38.0,18.0,38.0
ITEM-0000126,ORD-000082,PRD-111,1,38.0,18.0,38.0
ITEM-0000127,ORD-000083,PRD-106,2,85.0,38.0,170.0
ITEM-0000128,ORD-000083,PRD-112,1,49.0,22.0,49.0
ITEM-0000129,ORD-000084,PRD-103,2,79.0,45.0,158.0
ITEM-0000130,ORD-000085,PRD-115,2,28.0,11.0,56.0
ITEM-0000131,ORD-000086,PRD-118,2,19.5,9.5,39.0
ITEM-0000132,ORD-000087,PRD-106,1,85.0,38.0,85.0
ITEM-0000133,ORD-000087,PRD-107,2,65.0,24.0,130.0
ITEM-0000134,ORD-000088,PRD-119,2,16.0,8.0,32.0
ITEM-0000135,ORD-000088,PRD-101,1,187.06,120.0,187.06
ITEM-0000136,ORD-000088,PRD-112,2,49.0,22.0,98.0
ITEM-0000137,ORD-000089,PRD-104,2,89.3,55.0,178.6
ITEM-0000138,ORD-000090,PRD-107,2,65.0,24.0,130.0
ITEM-0000139,ORD-000090,PRD-108,1,140.0,65.0,140.0
ITEM-0000140,ORD-000091,PRD-107,2,65.0,24.0,130.0
ITEM-0000141,ORD-000091,PRD-119,2,16.0,8.0,32.0
ITEM-0000142,ORD-000092,PRD-114,2,29.0,14.0,58.0
ITEM-0000143,ORD-000093,PRD-119,1,16.0,8.0,16.0
ITEM-0000144,ORD-000094,PRD-117,1,42.0,16.0,42.0
ITEM-0000145,ORD-000094,PRD-110,1,95.0,42.0,95.0
ITEM-0000146,ORD-000095,PRD-108,1,140.0,65.0,140.0
ITEM-0000147,ORD-000096,PRD-101,1,199.0,120.0,199.0
ITEM-0000148,ORD-000096,PRD-114,1,29.0,14.0,29.0
ITEM-0000149,ORD-000097,PRD-109,2,32.0,12.0,64.0
ITEM-0000150,ORD-000097,PRD-114,1,29.0,14.0,29.0
ITEM-0000151,ORD-000098,PRD-113,1,195.0,110.0,195.0
ITEM-0000152,ORD-000099,PRD-110,1,95.0,42.0,95.0
ITEM-0000153,ORD-000099,PRD-119,2,16.0,8.0,32.0
ITEM-0000154,ORD-000099,PRD-105,2,45.0,22.0,90.0
ITEM-0000155,ORD-000100,PRD-107,1,65.0,24.0,65.0
ITEM-0000156,ORD-000101,PRD-110,1,95.0,42.0,95.0
ITEM-0000157,ORD-000101,PRD-119,2,16.0,8.0,32.0
ITEM-0000158,ORD-000102,PRD-108,1,140.0,65.0,140.0
ITEM-0000159,ORD-000103,PRD-107,1,65.0,24.0,65.0
ITEM-0000160,ORD-000104,PRD-113,1,195.0,110.0,195.0
ITEM-0000161,ORD-000105,PRD-117,2,42.0,16.0,84.0
ITEM-0000162,ORD-000106,PRD-110,2,95.0,42.0,190.0
ITEM-0000163,ORD-000106,PRD-114,2,29.0,14.0,58.0
ITEM-0000164,ORD-000107,PRD-101,1,187.06,120.0,187.06
ITEM-0000165,ORD-000108,PRD-111,1,38.0,18.0,38.0
ITEM-0000166,ORD-000109,PRD-113,2,195.0,110.0,390.0
ITEM-0000167,ORD-000110,PRD-101,1,187.06,120.0,187.06
ITEM-0000168,ORD-000111,PRD-117,1,42.0,16.0,42.0
ITEM-0000169,ORD-000111,PRD-119,1,16.0,8.0,16.0
ITEM-0000170,ORD-000112,PRD-110,2,95.0,42.0,190.0
ITEM-0000171,ORD-000113,PRD-114,1,29.0,14.0,29.0
ITEM-0000172,ORD-000114,PRD-102,1,459.66,310.0,459.66
ITEM-0000173,ORD-000115,PRD-109,2,32.0,12.0,64.0
ITEM-0000174,ORD-000115,PRD-107,1,65.0,24.0,65.0
ITEM-0000175,ORD-000116,PRD-108,2,140.0,65.0,280.0
ITEM-0000176,ORD-000116,PRD-114,2,29.0,14.0,58.0
ITEM-0000177,ORD-000117,PRD-105,2,45.0,22.0,90.0
ITEM-0000178,ORD-000117,PRD-101,2,199.0,120.0,398.0
ITEM-0000179,ORD-000118,PRD-116,1,62.0,26.0,62.0
ITEM-0000180,ORD-000118,PRD-114,2,29.0,14.0,58.0
ITEM-0000181,ORD-000118,PRD-103,1,74.26,45.0,74.26
ITEM-0000182,ORD-000119,PRD-115,1,28.0,11.0,28.0
ITEM-0000183,ORD-000119,PRD-108,2,140.0,65.0,280.0
ITEM-0000184,ORD-000120,PRD-105,2,45.0,22.0,90.0
ITEM-0000185,ORD-000121,PRD-112,2,49.0,22.0,98.0
ITEM-0000186,ORD-000122,PRD-107,1,65.0,24.0,65.0
ITEM-0000187,ORD-000123,PRD-109,2,32.0,12.0,64.0
ITEM-0000188,ORD-000123,PRD-108,2,140.0,65.0,280.0
ITEM-0000189,ORD-000124,PRD-119,1,16.0,8.0,16.0
ITEM-0000190,ORD-000125,PRD-105,2,42.3,22.0,84.6
ITEM-0000191,ORD-000126,PRD-114,2,29.0,14.0,58.0
ITEM-0000192,ORD-000126,PRD-109,2,32.0,12.0,64.0
ITEM-0000193,ORD-000127,PRD-104,1,95.0,55.0,95.0
ITEM-0000194,ORD-000127,PRD-105,2,45.0,22.0,90.0
ITEM-0000195,ORD-000127,PRD-106,1,85.0,38.0,85.0
ITEM-0000196,ORD-000128,PRD-115,1,28.0,11.0,28.0
ITEM-0000197,ORD-000129,PRD-104,1,89.3,55.0,89.3
ITEM-0000198,ORD-000130,PRD-112,1,49.0,22.0,49.0
ITEM-0000199,ORD-000130,PRD-114,2,29.0,14.0,58.0
ITEM-0000200,ORD-000131,PRD-112,1,49.0,22.0,49.0
ITEM-0000201,ORD-000132,PRD-109,1,32.0,12.0,32.0
ITEM-0000202,ORD-000132,PRD-111,2,38.0,18.0,76.0
ITEM-0000203,ORD-000133,PRD-106,2,85.0,38.0,170.0
ITEM-0000204,ORD-000134,PRD-111,2,38.0,18.0,76.0
ITEM-0000205,ORD-000135,PRD-110,2,95.0,42.0,190.0
ITEM-0000206,ORD-000135,PRD-111,2,38.0,18.0,76.0
ITEM-0000207,ORD-000135,PRD-117,2,42.0,16.0,84.0
ITEM-0000208,ORD-000136,PRD-109,2,32.0,12.0,64.0
ITEM-0000209,ORD-000137,PRD-108,1,140.0,65.0,140.0
ITEM-0000210,ORD-000138,PRD-110,1,95.0,42.0,95.0
ITEM-0000211,ORD-000138,PRD-112,1,49.0,22.0,49.0
ITEM-0000212,ORD-000139,PRD-108,1,140.0,65.0,140.0
ITEM-0000213,ORD-000139,PRD-109,2,32.0,12.0,64.0
ITEM-0000214,ORD-000140,PRD-106,1,85.0,38.0,85.0
ITEM-0000215,ORD-000140,PRD-116,2,62.0,26.0,124.0
ITEM-0000216,ORD-000141,PRD-116,2,62.0,26.0,124.0
ITEM-0000217,ORD-000142,PRD-101,2,199.0,120.0,398.0
ITEM-0000218,ORD-000143,PRD-114,1,29.0,14.0,29.0
ITEM-0000219,ORD-000144,PRD-113,1,195.0,110.0,195.0
ITEM-0000220,ORD-000144,PRD-114,1,29.0,14.0,29.0
ITEM-0000221,ORD-000145,PRD-114,2,29.0,14.0,58.0
ITEM-0000222,ORD-000145,PRD-118,2,19.5,9.5,39.0
ITEM-0000223,ORD-000145,PRD-106,1,85.0,38.0,85.0
ITEM-0000224,ORD-000146,PRD-102,2,489.0,310.0,978.0
ITEM-0000225,ORD-000147,PRD-106,2,85.0,38.0,170.0
ITEM-0000226,ORD-000148,PRD-104,2,89.3,55.0,178.6
ITEM-0000227,ORD-000148,PRD-119,1,16.0,8.0,16.0
ITEM-0000228,ORD-000149,PRD-101,2,187.06,120.0,374.12
ITEM-0000229,ORD-000150,PRD-112,2,49.0,22.0,98.0
ITEM-0000230,ORD-000151,PRD-118,1,19.5,9.5,19.5
ITEM-0000231,ORD-000151,PRD-104,2,95.0,55.0,190.0
ITEM-0000232,ORD-000152,PRD-103,1,79.0,45.0,79.0
ITEM-0000233,ORD-000152,PRD-101,2,199.0,120.0,398.0
ITEM-0000234,ORD-000153,PRD-104,2,89.3,55.0,178.6
ITEM-0000235,ORD-000153,PRD-102,2,459.66,310.0,919.32
ITEM-0000236,ORD-000154,PRD-119,1,16.0,8.0,16.0
ITEM-0000237,ORD-000154,PRD-116,2,62.0,26.0,124.0
ITEM-0000238,ORD-000155,PRD-103,2,74.26,45.0,148.52
ITEM-0000239,ORD-000156,PRD-117,2,42.0,16.0,84.0
ITEM-0000240,ORD-000157,PRD-111,1,38.0,18.0,38.0
ITEM-0000241,ORD-000158,PRD-109,2,32.0,12.0,64.0
ITEM-0000242,ORD-000158,PRD-115,1,28.0,11.0,28.0
ITEM-0000243,ORD-000159,PRD-109,2,32.0,12.0,64.0
ITEM-0000244,ORD-000159,PRD-119,1,16.0,8.0,16.0
ITEM-0000245,ORD-000159,PRD-105,1,45.0,22.0,45.0
ITEM-0000246,ORD-000160,PRD-110,2,95.0,42.0,190.0
ITEM-0000247,ORD-000161,PRD-109,1,32.0,12.0,32.0
ITEM-0000248,ORD-000162,PRD-109,1,32.0,12.0,32.0
ITEM-0000249,ORD-000163,PRD-109,2,32.0,12.0,64.0
ITEM-0000250,ORD-000163,PRD-101,1,187.06,120.0,187.06
ITEM-0000251,ORD-000163,PRD-116,1,62.0,26.0,62.0
ITEM-0000252,ORD-000164,PRD-107,2,65.0,24.0,130.0
ITEM-0000253,ORD-000165,PRD-103,2,74.26,45.0,148.52
ITEM-0000254,ORD-000166,PRD-106,1,85.0,38.0,85.0
ITEM-0000255,ORD-000167,PRD-116,1,62.0,26.0,62.0
ITEM-0000256,ORD-000168,PRD-118,1,19.5,9.5,19.5
ITEM-0000257,ORD-000168,PRD-112,2,49.0,22.0,98.0
ITEM-0000258,ORD-000169,PRD-114,2,29.0,14.0,58.0
ITEM-0000259,ORD-000170,PRD-106,1,85.0,38.0,85.0
ITEM-0000260,ORD-000171,PRD-114,1,29.0,14.0,29.0
ITEM-0000261,ORD-000172,PRD-111,1,38.0,18.0,38.0
ITEM-0000262,ORD-000172,PRD-101,2,187.06,120.0,374.12
ITEM-0000263,ORD-000172,PRD-119,2,16.0,8.0,32.0
ITEM-0000264,ORD-000173,PRD-110,2,95.0,42.0,190.0
ITEM-0000265,ORD-000174,PRD-118,2,19.5,9.5,39.0
ITEM-0000266,ORD-000175,PRD-107,2,65.0,24.0,130.0
ITEM-0000267,ORD-000176,PRD-113,2,195.0,110.0,390.0
ITEM-0000268,ORD-000176,PRD-107,2,65.0,24.0,130.0
ITEM-0000269,ORD-000176,PRD-110,2,95.0,42.0,190.0
ITEM-0000270,ORD-000177,PRD-108,1,140.0,65.0,140.0
ITEM-0000271,ORD-000178,PRD-105,2,45.0,22.0,90.0
ITEM-0000272,ORD-000178,PRD-111,1,38.0,18.0,38.0
ITEM-0000273,ORD-000179,PRD-110,2,95.0,42.0,190.0
ITEM-0000274,ORD-000179,PRD-119,2,16.0,8.0,32.0
ITEM-0000275,ORD-000180,PRD-110,1,95.0,42.0,95.0
ITEM-0000276,ORD-000181,PRD-118,2,19.5,9.5,39.0
ITEM-0000277,ORD-000181,PRD-102,1,489.0,310.0,489.0
ITEM-0000278,ORD-000182,PRD-117,2,42.0,16.0,84.0
ITEM-0000279,ORD-000183,PRD-115,1,28.0,11.0,28.0
ITEM-0000280,ORD-000184,PRD-105,2,42.3,22.0,84.6
ITEM-0000281,ORD-000185,PRD-109,1,32.0,12.0,32.0
ITEM-0000282,ORD-000185,PRD-119,2,16.0,8.0,32.0
ITEM-0000283,ORD-000185,PRD-101,1,187.06,120.0,187.06
ITEM-0000284,ORD-000186,PRD-111,1,38.0,18.0,38.0
ITEM-0000285,ORD-000186,PRD-115,1,28.0,11.0,28.0
ITEM-0000286,ORD-000187,PRD-105,2,45.0,22.0,90.0
ITEM-0000287,ORD-000188,PRD-102,1,489.0,310.0,489.0
ITEM-0000288,ORD-000188,PRD-119,2,16.0,8.0,32.0
ITEM-0000289,ORD-000189,PRD-119,1,16.0,8.0,16.0
ITEM-0000290,ORD-000189,PRD-102,1,489.0,310.0,489.0
ITEM-0000291,ORD-000190,PRD-118,1,19.5,9.5,19.5
ITEM-0000292,ORD-000190,PRD-103,2,79.0,45.0,158.0
ITEM-0000293,ORD-000191,PRD-114,1,29.0,14.0,29.0
ITEM-0000294,ORD-000191,PRD-109,1,32.0,12.0,32.0
ITEM-0000295,ORD-000191,PRD-106,2,85.0,38.0,170.0
ITEM-0000296,ORD-000192,PRD-105,1,45.0,22.0,45.0
ITEM-0000297,ORD-000192,PRD-112,2,49.0,22.0,98.0
ITEM-0000298,ORD-000192,PRD-115,2,28.0,11.0,56.0
ITEM-0000299,ORD-000193,PRD-111,1,38.0,18.0,38.0
ITEM-0000300,ORD-000193,PRD-104,1,95.0,55.0,95.0
ITEM-0000301,ORD-000193,PRD-119,1,16.0,8.0,16.0
ITEM-0000302,ORD-000194,PRD-115,2,28.0,11.0,56.0
ITEM-0000303,ORD-000194,PRD-101,1,199.0,120.0,199.0
ITEM-0000304,ORD-000195,PRD-112,1,49.0,22.0,49.0
ITEM-0000305,ORD-000196,PRD-114,2,29.0,14.0,58.0
ITEM-0000306,ORD-000196,PRD-108,1,140.0,65.0,140.0
ITEM-0000307,ORD-000197,PRD-101,2,187.06,120.0,374.12
ITEM-0000308,ORD-000198,PRD-109,1,32.0,12.0,32.0
ITEM-0000309,ORD-000198,PRD-108,1,140.0,65.0,140.0
ITEM-0000310,ORD-000198,PRD-101,1,199.0,120.0,199.0
ITEM-0000311,ORD-000199,PRD-111,1,38.0,18.0,38.0
ITEM-0000312,ORD-000200,PRD-118,1,19.5,9.5,19.5
ITEM-0000313,ORD-000200,PRD-106,1,85.0,38.0,85.0
ITEM-0000314,ORD-000200,PRD-115,2,28.0,11.0,56.0
ITEM-0000315,ORD-000201,PRD-117,1,42.0,16.0,42.0
ITEM-0000316,ORD-000201,PRD-107,2,65.0,24.0,130.0
ITEM-0000317,ORD-000201,PRD-110,2,95.0,42.0,190.0
ITEM-0000318,ORD-000202,PRD-107,2,65.0,24.0,130.0
ITEM-0000319,ORD-000203,PRD-119,2,16.0,8.0,32.0
ITEM-0000320,ORD-000203,PRD-105,1,42.3,22.0,42.3
ITEM-0000321,ORD-000204,PRD-112,2,49.0,22.0,98.0
ITEM-0000322,ORD-000205,PRD-118,1,19.5,9.5,19.5
ITEM-0000323,ORD-000206,PRD-107,2,65.0,24.0,130.0
ITEM-0000324,ORD-000207,PRD-106,1,85.0,38.0,85.0
ITEM-0000325,ORD-000208,PRD-107,1,65.0,24.0,65.0
ITEM-0000326,ORD-000208,PRD-117,2,42.0,16.0,84.0
ITEM-0000327,ORD-000209,PRD-117,1,42.0,16.0,42.0
ITEM-0000328,ORD-000210,PRD-107,2,65.0,24.0,130.0
ITEM-0000329,ORD-000211,PRD-103,2,74.26,45.0,148.52
ITEM-0000330,ORD-000211,PRD-101,1,187.06,120.0,187.06
ITEM-0000331,ORD-000212,PRD-103,2,79.0,45.0,158.0
ITEM-0000332,ORD-000213,PRD-110,1,95.0,42.0,95.0
ITEM-0000333,ORD-000213,PRD-106,2,85.0,38.0,170.0
ITEM-0000334,ORD-000214,PRD-114,1,29.0,14.0,29.0
ITEM-0000335,ORD-000215,PRD-108,2,140.0,65.0,280.0
ITEM-0000336,ORD-000215,PRD-113,2,195.0,110.0,390.0
ITEM-0000337,ORD-000216,PRD-101,2,199.0,120.0,398.0
ITEM-0000338,ORD-000217,PRD-117,1,42.0,16.0,42.0
ITEM-0000339,ORD-000218,PRD-102,1,459.66,310.0,459.66
ITEM-0000340,ORD-000219,PRD-119,2,16.0,8.0,32.0
ITEM-0000341,ORD-000219,PRD-114,2,29.0,14.0,58.0
ITEM-0000342,ORD-000220,PRD-105,1,42.3,22.0,42.3
ITEM-0000343,ORD-000221,PRD-114,2,29.0,14.0,58.0
ITEM-0000344,ORD-000221,PRD-112,1,49.0,22.0,49.0
ITEM-0000345,ORD-000221,PRD-103,1,74.26,45.0,74.26
ITEM-0000346,ORD-000222,PRD-102,2,489.0,310.0,978.0
ITEM-0000347,ORD-000223,PRD-106,2,85.0,38.0,170.0
ITEM-0000348,ORD-000224,PRD-102,1,459.66,310.0,459.66
ITEM-0000349,ORD-000225,PRD-116,2,62.0,26.0,124.0
ITEM-0000350,ORD-000225,PRD-118,2,19.5,9.5,39.0
ITEM-0000351,ORD-000226,PRD-104,2,95.0,55.0,190.0
ITEM-0000352,ORD-000227,PRD-117,2,42.0,16.0,84.0
ITEM-0000353,ORD-000227,PRD-110,1,95.0,42.0,95.0
ITEM-0000354,ORD-000228,PRD-108,2,140.0,65.0,280.0
ITEM-0000355,ORD-000229,PRD-113,1,195.0,110.0,195.0
ITEM-0000356,ORD-000230,PRD-107,1,65.0,24.0,65.0
ITEM-0000357,ORD-000231,PRD-116,2,62.0,26.0,124.0
ITEM-0000358,ORD-000232,PRD-108,2,140.0,65.0,280.0
ITEM-0000359,ORD-000232,PRD-106,1,85.0,38.0,85.0
ITEM-0000360,ORD-000233,PRD-103,1,79.0,45.0,79.0
ITEM-0000361,ORD-000233,PRD-115,2,28.0,11.0,56.0
ITEM-0000362,ORD-000233,PRD-119,1,16.0,8.0,16.0
ITEM-0000363,ORD-000234,PRD-101,1,187.06,120.0,187.06
ITEM-0000364,ORD-000235,PRD-102,2,459.66,310.0,919.32
ITEM-0000365,ORD-000235,PRD-112,1,49.0,22.0,49.0
ITEM-0000366,ORD-000236,PRD-113,2,195.0,110.0,390.0
ITEM-0000367,ORD-000237,PRD-112,1,49.0,22.0,49.0
ITEM-0000368,ORD-000238,PRD-114,2,29.0,14.0,58.0
ITEM-0000369,ORD-000239,PRD-106,2,85.0,38.0,170.0
ITEM-0000370,ORD-000239,PRD-104,1,89.3,55.0,89.3
ITEM-0000371,ORD-000240,PRD-119,1,16.0,8.0,16.0
ITEM-0000372,ORD-000240,PRD-110,2,95.0,42.0,190.0
ITEM-0000373,ORD-000241,PRD-118,2,19.5,9.5,39.0
ITEM-0000374,ORD-000241,PRD-108,1,140.0,65.0,140.0
ITEM-0000375,ORD-000241,PRD-119,2,16.0,8.0,32.0
ITEM-0000376,ORD-000242,PRD-108,2,140.0,65.0,280.0
ITEM-0000377,ORD-000243,PRD-102,1,459.66,310.0,459.66
ITEM-0000378,ORD-000243,PRD-112,2,49.0,22.0,98.0
ITEM-0000379,ORD-000244,PRD-119,2,16.0,8.0,32.0
ITEM-0000380,ORD-000244,PRD-101,2,199.0,120.0,398.0
ITEM-0000381,ORD-000245,PRD-103,2,74.26,45.0,148.52
ITEM-0000382,ORD-000245,PRD-117,1,42.0,16.0,42.0
ITEM-0000383,ORD-000246,PRD-110,1,95.0,42.0,95.0
ITEM-0000384,ORD-000246,PRD-108,1,140.0,65.0,140.0
ITEM-0000385,ORD-000247,PRD-116,2,62.0,26.0,124.0
ITEM-0000386,ORD-000248,PRD-101,1,199.0,120.0,199.0
ITEM-0000387,ORD-000249,PRD-108,1,140.0,65.0,140.0
